year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.006419,0.005396,0.006973,0.00723,0.00833,0.008436,0.009105,0.00954,0.011266,0.011556,0.013751,0.013098,0.015744,0.017602,0.018585,0.021648,0.022937,0.024029,0.02945,0.032195,0.035028,0.034921,0.043821,0.04858,0.056691,0.062693,0.071526,0.070248,0.086968,0.085198,0.101673,0.094283,0.116477,0.129108,0.149897,0.167009,0.202562,0.191737,0.215894,0.219319
1951,0.006427,0.006792,0.006371,0.007104,0.00903,0.007649,0.009638,0.010199,0.010487,0.01216,0.012605,0.013276,0.015536,0.019075,0.018557,0.023489,0.021457,0.025078,0.027719,0.031251,0.034985,0.037019,0.042465,0.05095,0.057372,0.064044,0.070984,0.069909,0.09114,0.091082,0.103587,0.098696,0.110968,0.130994,0.156654,0.169421,0.189776,0.203553,0.207382,0.234359
1952,0.005164,0.006226,0.008451,0.006734,0.007964,0.007774,0.01006,0.009652,0.011372,0.011768,0.013513,0.012,0.015796,0.018249,0.018859,0.02147,0.020689,0.024989,0.030136,0.031765,0.034949,0.034544,0.039954,0.045634,0.051965,0.05866,0.066965,0.071938,0.0834,0.093776,0.098332,0.091171,0.121969,0.132239,0.153635,0.157527,0.196052,0.191689,0.202335,0.235453
1953,0.006332,0.005215,0.006926,0.008234,0.006982,0.007289,0.007899,0.010178,0.010796,0.012005,0.011842,0.012497,0.014941,0.017844,0.018561,0.020517,0.021321,0.022722,0.025898,0.030926,0.033588,0.0321,0.044233,0.048455,0.047786,0.059593,0.065158,0.066125,0.083601,0.088719,0.090418,0.094515,0.113615,0.13316,0.134127,0.159762,0.182549,0.172902,0.213106,0.221556
1954,0.006205,0.00507,0.005917,0.00742,0.008533,0.006889,0.008622,0.008846,0.010127,0.011462,0.012676,0.011974,0.014618,0.015965,0.019597,0.020493,0.021305,0.023864,0.025729,0.029589,0.034314,0.03564,0.040054,0.047688,0.052977,0.05534,0.061111,0.066217,0.083638,0.093045,0.093233,0.092618,0.112107,0.122713,0.155239,0.163217,0.180764,0.184089,0.182899,0.212634
1955,0.004703,0.004749,0.005302,0.006937,0.007905,0.008272,0.007531,0.007875,0.009735,0.010841,0.011409,0.01195,0.015165,0.016301,0.017673,0.020028,0.021372,0.024791,0.026824,0.027995,0.032372,0.032617,0.042846,0.044922,0.051395,0.055297,0.059644,0.06822,0.08091,0.084603,0.087397,0.087619,0.108889,0.124726,0.145533,0.151953,0.177821,0.19041,0.196597,0.210345
1956,0.005824,0.004863,0.006303,0.005791,0.006678,0.007696,0.008936,0.008305,0.009736,0.010399,0.012059,0.011306,0.013534,0.016502,0.018147,0.020495,0.021749,0.024024,0.026725,0.029286,0.034519,0.033813,0.040847,0.047913,0.0535,0.056808,0.067843,0.064839,0.078999,0.092997,0.097989,0.10225,0.110719,0.129008,0.153416,0.162531,0.196125,0.191132,0.209161,0.223446
1957,0.004857,0.005085,0.005655,0.00585,0.006276,0.006903,0.008189,0.009281,0.009286,0.0103,0.011504,0.011683,0.012957,0.016426,0.017325,0.019481,0.019758,0.023518,0.026853,0.02991,0.0315,0.032101,0.04112,0.045711,0.05088,0.054706,0.061987,0.064145,0.074703,0.082989,0.088802,0.088444,0.111936,0.128702,0.141796,0.152972,0.164085,0.186504,0.179137,0.234865
1958,0.005139,0.004477,0.005837,0.006416,0.007486,0.006567,0.007107,0.008801,0.010238,0.009426,0.011837,0.011551,0.014552,0.015096,0.0155,0.019756,0.017804,0.021419,0.025458,0.02571,0.031812,0.031546,0.039186,0.041803,0.048309,0.053862,0.059315,0.062705,0.074051,0.074272,0.084959,0.081971,0.101407,0.121491,0.135747,0.144837,0.160034,0.174439,0.188378,0.215103
1959,0.004662,0.004495,0.005436,0.006591,0.007244,0.006531,0.007992,0.008775,0.010097,0.010508,0.009811,0.010731,0.013816,0.015917,0.017301,0.019704,0.018863,0.020477,0.025413,0.028867,0.031563,0.031745,0.039312,0.045191,0.049489,0.05274,0.062974,0.063395,0.07352,0.08257,0.084703,0.088603,0.110856,0.119922,0.146723,0.150769,0.170197,0.171935,0.205538,0.219095
