year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.009616,0.009145,0.010307,0.012024,0.013887,0.013621,0.015748,0.017384,0.01953,0.02083,0.022857,0.02382,0.027521,0.032023,0.032912,0.039366,0.036985,0.038774,0.048282,0.050267,0.054456,0.052985,0.064973,0.07551,0.087718,0.085588,0.092432,0.092639,0.121005,0.120575,0.131147,0.117896,0.150138,0.162375,0.186583,0.198261,0.235571,0.22962,0.243845,0.280299
1951,0.009331,0.009927,0.01076,0.01251,0.013867,0.014761,0.017492,0.018524,0.020432,0.021217,0.022838,0.024887,0.029958,0.032549,0.035122,0.039609,0.036956,0.046015,0.048163,0.04908,0.0544,0.056388,0.067324,0.073821,0.082107,0.094366,0.09944,0.095602,0.110807,0.12283,0.121495,0.132414,0.146598,0.168865,0.193161,0.201983,0.224358,0.25126,0.239362,0.27247
1952,0.008237,0.010419,0.012819,0.011168,0.013674,0.013084,0.017434,0.016208,0.020423,0.022821,0.024003,0.022513,0.029823,0.031596,0.035676,0.036332,0.039419,0.04573,0.047909,0.052076,0.052554,0.055702,0.069692,0.073971,0.076029,0.084443,0.097777,0.097994,0.110057,0.119394,0.122358,0.127829,0.158197,0.149718,0.191394,0.181448,0.218946,0.217981,0.263301,0.260004
1953,0.008267,0.008339,0.011282,0.013342,0.012121,0.012548,0.015466,0.016594,0.019213,0.022506,0.023946,0.02204,0.026328,0.029826,0.034179,0.03765,0.034012,0.042452,0.044567,0.047586,0.054003,0.054017,0.066171,0.074405,0.077076,0.083988,0.093961,0.090835,0.109262,0.110183,0.118904,0.117519,0.138436,0.170025,0.177184,0.188807,0.226809,0.223464,0.227641,0.278779
1954,0.007879,0.008413,0.009706,0.012816,0.013863,0.012546,0.014669,0.01625,0.020511,0.021109,0.021601,0.022986,0.026301,0.029161,0.032347,0.036429,0.03613,0.039414,0.046289,0.04852,0.055397,0.054666,0.0664,0.072655,0.083794,0.088346,0.095736,0.099855,0.115749,0.121609,0.120331,0.114616,0.144714,0.157177,0.189135,0.184861,0.219688,0.233898,0.271434,0.277941
1955,0.009312,0.008029,0.009899,0.011058,0.013295,0.014108,0.016224,0.015735,0.018758,0.019428,0.021077,0.022736,0.026013,0.030395,0.031801,0.037885,0.035847,0.04366,0.048095,0.048955,0.054422,0.055585,0.066464,0.070426,0.081116,0.080698,0.092926,0.091027,0.10886,0.120039,0.124564,0.121065,0.147658,0.15183,0.182569,0.198474,0.202875,0.222532,0.244335,0.276213
1956,0.00748,0.009555,0.010896,0.010863,0.011816,0.013664,0.016219,0.015755,0.019457,0.020484,0.023536,0.023153,0.028001,0.031575,0.032605,0.036679,0.036683,0.039224,0.048097,0.050641,0.054613,0.055703,0.068793,0.075664,0.082716,0.089084,0.10017,0.095908,0.11414,0.119129,0.13483,0.138056,0.152037,0.166739,0.197232,0.208374,0.241638,0.250082,0.255572,0.267159
1957,0.008437,0.008958,0.0103,0.010962,0.011915,0.013181,0.016906,0.018756,0.017398,0.019005,0.020378,0.022767,0.027978,0.029548,0.033393,0.036387,0.035659,0.042405,0.046223,0.049976,0.052155,0.052541,0.062362,0.07576,0.083738,0.083554,0.092964,0.093174,0.110601,0.113921,0.11975,0.112482,0.131653,0.161808,0.172295,0.186742,0.206289,0.224741,0.237554,0.269225
1958,0.008388,0.007881,0.010184,0.011269,0.012657,0.011935,0.0132,0.016444,0.020063,0.020266,0.021252,0.021438,0.026032,0.029485,0.033231,0.035975,0.035749,0.042507,0.044026,0.046693,0.051748,0.050947,0.061007,0.068776,0.07897,0.080471,0.089192,0.086804,0.106609,0.110055,0.118566,0.111793,0.14551,0.145766,0.163652,0.182867,0.200064,0.20357,0.248599,0.256643
1959,0.007528,0.008001,0.010299,0.011927,0.012261,0.012915,0.014443,0.016514,0.021439,0.02373,0.020622,0.021659,0.026957,0.029489,0.033149,0.039011,0.038476,0.042432,0.047959,0.052334,0.05397,0.054128,0.065792,0.072049,0.082126,0.08878,0.092129,0.097178,0.116538,0.126513,0.116663,0.124843,0.133903,0.158129,0.185211,0.175619,0.204966,0.227265,0.247003,0.259077
1960,0.008491,0.00892,0.009815,0.010532,0.012601,0.012343,0.015244,0.016641,0.01828,0.021542,0.023943,0.021532,0.025539,0.028988,0.033634,0.037448,0.036923,0.04223,0.045017,0.049739,0.05357,0.054699,0.066047,0.068496,0.077381,0.081082,0.092661,0.09087,0.10471,0.111552,0.117484,0.11696,0.140502,0.150493,0.183882,0.178893,0.207595,0.212435,0.213749,0.242856
1961,0.008603,0.008649,0.00948,0.010548,0.012679,0.013266,0.014282,0.015916,0.018035,0.019971,0.023393,0.025365,0.02608,0.027166,0.029735,0.034704,0.036145,0.042802,0.043579,0.050154,0.0532,0.05369,0.061164,0.071614,0.078457,0.079506,0.088749,0.093855,0.102175,0.112597,0.120767,0.115308,0.138413,0.150018,0.175088,0.183069,0.199155,0.206618,0.234773,0.250013
1962,0.008243,0.00925,0.010327,0.01037,0.012626,0.013523,0.015706,0.017358,0.018701,0.01969,0.021817,0.024544,0.028665,0.027381,0.032241,0.034901,0.036343,0.04275,0.047921,0.047741,0.054718,0.051664,0.06357,0.073021,0.082156,0.079578,0.091673,0.0963,0.111571,0.112393,0.117427,0.123913,0.148297,0.143599,0.177856,0.188315,0.219565,0.221342,0.260035,0.25418
1963,0.007973,0.008116,0.010747,0.011503,0.013013,0.013001,0.01549,0.015906,0.017971,0.021377,0.021343,0.023377,0.029846,0.03256,0.032117,0.037338,0.035587,0.042564,0.047644,0.051566,0.054055,0.052419,0.065065,0.072054,0.075732,0.085824,0.092848,0.092121,0.109914,0.118868,0.112722,0.124432,0.139192,0.16029,0.166869,0.185027,0.203083,0.229983,0.242355,0.2281
1964,0.008451,0.008974,0.010074,0.011675,0.014168,0.013125,0.015964,0.016655,0.020304,0.022185,0.024709,0.023361,0.027839,0.033887,0.038079,0.035714,0.036609,0.041763,0.049348,0.053265,0.059901,0.057077,0.067194,0.07455,0.084409,0.08555,0.097337,0.096361,0.114869,0.117009,0.121549,0.135057,0.152499,0.157117,0.189564,0.191713,0.21404,0.247643,0.24312,0.26604
1965,0.008693,0.009157,0.011072,0.012169,0.013754,0.013563,0.014011,0.017121,0.018639,0.021188,0.021741,0.024493,0.027766,0.029986,0.035012,0.042308,0.034996,0.043012,0.044854,0.053269,0.054755,0.0587,0.069147,0.073155,0.078811,0.087233,0.094071,0.095452,0.110078,0.122013,0.119171,0.119641,0.1378,0.147779,0.177735,0.192291,0.21227,0.241315,0.246656,0.247029
