year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.00614,0.005351,0.006587,0.006892,0.00815,0.008707,0.00942,0.009652,0.01162,0.011182,0.014021,0.012998,0.016142,0.017651,0.020183,0.022327,0.023497,0.024601,0.030135,0.032011,0.03528,0.034279,0.042447,0.050772,0.053481,0.057858,0.066527,0.065691,0.079667,0.086017,0.090258,0.094801,0.113423,0.123503,0.136294,0.148524,0.170918,0.187273,0.210443,0.205366
1951,0.005866,0.006276,0.006231,0.00656,0.007261,0.008197,0.008931,0.010353,0.011333,0.011863,0.014147,0.013532,0.016376,0.01737,0.019322,0.022524,0.02139,0.024938,0.025839,0.030996,0.036306,0.035509,0.039563,0.047467,0.051911,0.065289,0.066548,0.071776,0.083132,0.088032,0.093855,0.097289,0.112972,0.129009,0.145098,0.14552,0.178603,0.186275,0.182166,0.199568
1952,0.004938,0.006009,0.007437,0.006382,0.007508,0.007751,0.009307,0.009432,0.010813,0.011061,0.012587,0.012762,0.015263,0.017797,0.019026,0.022411,0.020727,0.023606,0.024779,0.028249,0.033547,0.034373,0.0425,0.044815,0.049672,0.053055,0.064227,0.065876,0.073976,0.082001,0.084252,0.093679,0.107779,0.115226,0.128842,0.142125,0.163055,0.162186,0.177342,0.186218
1953,0.005444,0.005052,0.007037,0.00756,0.007054,0.007458,0.008888,0.008922,0.010992,0.011465,0.012225,0.01256,0.015612,0.018155,0.018809,0.022367,0.020803,0.023546,0.026838,0.027952,0.032612,0.034485,0.03856,0.046049,0.049249,0.055854,0.063269,0.068998,0.076509,0.082406,0.087419,0.087058,0.109456,0.117279,0.134406,0.137644,0.15588,0.170664,0.188284,0.205682
1954,0.00458,0.005047,0.00569,0.007172,0.007805,0.00669,0.008315,0.008558,0.009588,0.011102,0.01209,0.011832,0.014813,0.016409,0.017626,0.020145,0.021662,0.021231,0.02499,0.027211,0.029734,0.030205,0.037636,0.043511,0.048741,0.05195,0.058581,0.063102,0.075043,0.080675,0.0834,0.081366,0.094936,0.113148,0.125174,0.131721,0.154787,0.164961,0.175355,0.201115
1955,0.00525,0.004671,0.005551,0.005571,0.006959,0.007872,0.007636,0.008702,0.009428,0.011626,0.011875,0.011165,0.015321,0.015788,0.017052,0.019714,0.019652,0.022503,0.024983,0.026341,0.029617,0.030782,0.038444,0.041981,0.046929,0.053537,0.059304,0.064159,0.072952,0.083141,0.084799,0.087057,0.101302,0.11298,0.121937,0.143196,0.160884,0.166937,0.181733,0.20529
1956,0.004509,0.005449,0.005849,0.00627,0.006452,0.007594,0.008784,0.008179,0.009386,0.00999,0.012182,0.013351,0.014231,0.01622,0.017755,0.019828,0.019269,0.022497,0.023976,0.02602,0.030565,0.031044,0.038702,0.041501,0.045016,0.053558,0.062271,0.063163,0.078593,0.080366,0.087287,0.085961,0.104469,0.11508,0.124643,0.13631,0.155604,0.164574,0.180008,0.193007
1957,0.004243,0.00497,0.006158,0.00587,0.006334,0.007031,0.009496,0.010001,0.009672,0.010325,0.011025,0.011792,0.014611,0.016247,0.01839,0.02004,0.020312,0.022115,0.02527,0.028716,0.029187,0.03037,0.037173,0.041348,0.046296,0.051381,0.05906,0.06591,0.071963,0.078634,0.085812,0.086913,0.102848,0.113289,0.120038,0.134826,0.14558,0.171275,0.173744,0.185286
1958,0.004247,0.004646,0.005458,0.006044,0.00651,0.006258,0.006764,0.009048,0.010494,0.010132,0.010905,0.011497,0.014316,0.01531,0.016283,0.018915,0.019151,0.021279,0.02392,0.026879,0.028013,0.029771,0.035828,0.040167,0.043621,0.051599,0.057316,0.062505,0.06837,0.076755,0.079959,0.081947,0.099197,0.110291,0.124499,0.13665,0.148258,0.160619,0.184899,0.190146
1959,0.004536,0.004713,0.005862,0.006076,0.006776,0.00633,0.007301,0.008361,0.010308,0.011282,0.010412,0.011382,0.01348,0.015357,0.017024,0.018909,0.019427,0.021827,0.023651,0.026352,0.028935,0.032088,0.037336,0.040312,0.047679,0.051312,0.054992,0.063104,0.073291,0.082427,0.083363,0.088583,0.103039,0.110785,0.127941,0.131084,0.157356,0.165791,0.182249,0.203414
