year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.009416,0.008112,0.009894,0.010522,0.012529,0.012778,0.013839,0.015666,0.017676,0.018511,0.021974,0.021429,0.025505,0.026992,0.029792,0.033403,0.030322,0.035915,0.040724,0.042484,0.047083,0.044912,0.056418,0.062563,0.067688,0.073142,0.076655,0.08261,0.096476,0.10344,0.109739,0.114748,0.132907,0.149541,0.163636,0.175999,0.206569,0.231957,0.225519,0.255195
1951,0.009165,0.009865,0.010156,0.010537,0.011955,0.013068,0.01538,0.01588,0.017449,0.019036,0.020415,0.020837,0.025684,0.026829,0.029163,0.032431,0.0298,0.033993,0.038005,0.04349,0.042842,0.046941,0.055174,0.061925,0.067003,0.072048,0.085648,0.08507,0.098269,0.101727,0.107214,0.114995,0.125524,0.152987,0.168651,0.177688,0.203302,0.204981,0.2414,0.250665
1952,0.008143,0.01007,0.011728,0.011312,0.011894,0.012489,0.015027,0.0168,0.017876,0.019528,0.0209,0.020056,0.024781,0.027061,0.03016,0.03179,0.030973,0.033361,0.040004,0.043544,0.045465,0.044259,0.055881,0.057936,0.060904,0.066045,0.080465,0.083446,0.096338,0.099073,0.105766,0.111117,0.132387,0.143182,0.164306,0.166623,0.191097,0.217286,0.207567,0.239253
1953,0.008907,0.008301,0.010801,0.012377,0.011721,0.012645,0.013616,0.016141,0.018545,0.017964,0.020822,0.020549,0.024507,0.02766,0.027807,0.031586,0.031235,0.034837,0.037004,0.042629,0.047803,0.045528,0.053614,0.059916,0.064132,0.068833,0.077018,0.081926,0.096455,0.097995,0.10946,0.107931,0.126163,0.143513,0.154175,0.172521,0.189414,0.215211,0.219307,0.227059
1954,0.00785,0.008155,0.009892,0.01127,0.013121,0.012402,0.014027,0.014625,0.016523,0.017936,0.019129,0.020504,0.025819,0.027044,0.028726,0.030849,0.030669,0.033589,0.03879,0.041903,0.04377,0.044043,0.051615,0.058161,0.064668,0.066887,0.071897,0.079002,0.09358,0.101691,0.101969,0.106743,0.118648,0.140239,0.160054,0.158818,0.18993,0.212997,0.214032,0.228812
1955,0.008124,0.00862,0.009861,0.009865,0.012639,0.012808,0.013881,0.014533,0.016159,0.018472,0.020453,0.021173,0.025073,0.026152,0.027035,0.031906,0.032385,0.03494,0.038721,0.042261,0.044441,0.045355,0.054475,0.060079,0.065002,0.070341,0.080535,0.084908,0.095093,0.100456,0.10235,0.110898,0.129743,0.144754,0.166129,0.162118,0.178816,0.200079,0.220177,0.235119
1956,0.008015,0.008668,0.009729,0.010109,0.011334,0.013737,0.014829,0.014603,0.016406,0.018339,0.020713,0.021328,0.02445,0.026374,0.027273,0.032484,0.031506,0.035908,0.039145,0.040615,0.045184,0.045247,0.055218,0.059769,0.065506,0.0715,0.077805,0.080143,0.090983,0.099071,0.110748,0.112135,0.11961,0.149213,0.155302,0.162647,0.190971,0.192754,0.220725,0.244697
1957,0.007887,0.009077,0.009763,0.011077,0.011667,0.01258,0.014842,0.017048,0.016521,0.019149,0.021435,0.022427,0.025294,0.02748,0.030628,0.0326,0.032866,0.037677,0.038871,0.044693,0.045484,0.046581,0.053715,0.059968,0.064111,0.069775,0.078485,0.087588,0.091871,0.099258,0.104057,0.11662,0.12347,0.147171,0.15205,0.163541,0.187249,0.199634,0.208334,0.236191
1958,0.008026,0.008432,0.009892,0.011457,0.011874,0.012692,0.013601,0.016333,0.019194,0.017763,0.020488,0.020428,0.024152,0.026835,0.029442,0.031092,0.030302,0.036636,0.040454,0.043008,0.045967,0.043522,0.053563,0.05823,0.064064,0.06941,0.077085,0.081388,0.088692,0.095692,0.102348,0.108979,0.128786,0.142506,0.151784,0.156051,0.183557,0.204657,0.219855,0.217252
1959,0.008129,0.008396,0.009381,0.00993,0.012019,0.012494,0.013514,0.01543,0.018124,0.019294,0.018699,0.02148,0.023797,0.027065,0.029745,0.031084,0.031293,0.035286,0.039205,0.044399,0.047571,0.048631,0.054927,0.062787,0.065967,0.069222,0.073038,0.08554,0.095422,0.102393,0.104767,0.111207,0.128564,0.142409,0.15943,0.16556,0.17646,0.207294,0.212452,0.231327
