year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.005733,0.005738,0.006253,0.006575,0.006899,0.006991,0.008523,0.008416,0.009625,0.011404,0.012992,0.014478,0.015344,0.016504,0.019787,0.021766,0.022788,0.026123,0.032358,0.03152,0.039449,0.039477,0.048457,0.051465,0.05472,0.068184,0.072013,0.091514,0.086595,0.104132,0.116636,0.130238,0.142635,0.147368,0.168888,0.184944,0.220125,0.222117,0.244791,0.281584
1951,0.005144,0.005426,0.006954,0.006377,0.007156,0.008038,0.008254,0.009317,0.008667,0.009905,0.013206,0.013537,0.014089,0.01725,0.018955,0.021045,0.022657,0.024223,0.029124,0.030936,0.035997,0.038494,0.047624,0.052483,0.058524,0.060031,0.065547,0.083276,0.091624,0.097723,0.101946,0.112834,0.129477,0.149091,0.154304,0.197947,0.190485,0.227262,0.225714,0.232846
1952,0.005281,0.004765,0.004621,0.006729,0.007011,0.006203,0.009038,0.007812,0.009263,0.011693,0.011476,0.01352,0.014921,0.017701,0.017172,0.019277,0.021175,0.02322,0.026636,0.031333,0.035369,0.040282,0.044052,0.049866,0.05394,0.066546,0.067121,0.082349,0.089416,0.098896,0.099828,0.124154,0.13779,0.139414,0.161964,0.181432,0.199709,0.223211,0.256355,0.243009
1953,0.003892,0.005014,0.006349,0.006856,0.006353,0.008131,0.007668,0.008661,0.009956,0.011357,0.012441,0.012891,0.014423,0.014841,0.015674,0.020974,0.023307,0.025231,0.027109,0.029018,0.035837,0.037539,0.04342,0.051647,0.058507,0.06409,0.070365,0.081795,0.086086,0.099875,0.113103,0.112722,0.130288,0.148557,0.16635,0.167219,0.192611,0.211668,0.235073,0.262962
1954,0.004375,0.004949,0.00563,0.005601,0.006634,0.007363,0.008157,0.009001,0.008987,0.009928,0.012813,0.012024,0.013457,0.015615,0.015646,0.018248,0.020493,0.023253,0.030874,0.031295,0.033953,0.037671,0.045909,0.050277,0.054095,0.059721,0.072692,0.081051,0.081991,0.09446,0.102721,0.126193,0.130384,0.146085,0.163651,0.174011,0.187702,0.221301,0.251406,0.266246
1955,0.004758,0.00493,0.005083,0.006402,0.00492,0.007794,0.007032,0.007657,0.008956,0.010078,0.011272,0.012177,0.014257,0.015428,0.016369,0.017641,0.020866,0.022949,0.026403,0.028889,0.032744,0.038017,0.040254,0.042743,0.048077,0.056048,0.067071,0.072692,0.076193,0.088875,0.097687,0.10827,0.126106,0.128606,0.151591,0.166613,0.158366,0.182653,0.202906,0.247486
1956,0.004954,0.004992,0.005426,0.006675,0.006032,0.006919,0.007424,0.007874,0.009181,0.011421,0.010739,0.012032,0.01168,0.014994,0.015877,0.01927,0.01896,0.020049,0.023478,0.029568,0.031733,0.035684,0.039595,0.047025,0.049166,0.057868,0.062383,0.074704,0.077415,0.091157,0.101522,0.101032,0.117703,0.132693,0.148122,0.156642,0.162309,0.204782,0.221897,0.223389
1957,0.004528,0.00491,0.00502,0.005313,0.005657,0.007461,0.00716,0.008071,0.008971,0.00931,0.011375,0.0121,0.013356,0.013062,0.017055,0.018041,0.020599,0.023073,0.026256,0.02915,0.033405,0.035987,0.039503,0.049515,0.050341,0.058327,0.065771,0.072874,0.083509,0.093094,0.098138,0.11185,0.120361,0.142247,0.152,0.16961,0.195512,0.215582,0.240645,0.263085
1958,0.004533,0.00407,0.005146,0.006039,0.006654,0.006099,0.006608,0.008017,0.00968,0.008776,0.011435,0.012027,0.011813,0.015052,0.014991,0.01781,0.020988,0.021604,0.02477,0.028031,0.029527,0.033458,0.0366,0.045809,0.048194,0.058398,0.067833,0.073375,0.082179,0.086168,0.096556,0.109472,0.127433,0.136449,0.145563,0.175734,0.173511,0.200999,0.242424,0.250971
1959,0.004107,0.00576,0.005088,0.005779,0.005826,0.007282,0.006031,0.006805,0.008664,0.010372,0.009383,0.012702,0.013687,0.013017,0.014753,0.015767,0.020156,0.021384,0.024436,0.026656,0.031884,0.034661,0.037156,0.047504,0.049291,0.055111,0.065868,0.070708,0.07723,0.093919,0.09622,0.110798,0.125921,0.145937,0.154778,0.170904,0.187616,0.190792,0.218256,0.255991
