year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.005964,0.006617,0.007508,0.008531,0.008491,0.011164,0.011945,0.011786,0.012673,0.013989,0.01817,0.017428,0.018795,0.021708,0.021449,0.025799,0.027237,0.03001,0.034224,0.033827,0.04043,0.045906,0.053682,0.058039,0.064849,0.066096,0.078392,0.090614,0.08944,0.111521,0.121811,0.135201,0.147257,0.162511,0.182654,0.194463,0.216006,0.25416,0.258458,0.261847
1951,0.005766,0.007161,0.007351,0.008665,0.008548,0.009522,0.011153,0.011419,0.012919,0.013044,0.016474,0.01583,0.019071,0.020462,0.022601,0.02296,0.026949,0.030768,0.029469,0.035993,0.042576,0.045297,0.049756,0.051836,0.056843,0.070081,0.072915,0.082651,0.091601,0.098958,0.113906,0.126744,0.137174,0.156204,0.155687,0.181524,0.170786,0.215165,0.248228,0.24758
1952,0.006784,0.00702,0.007826,0.008236,0.009082,0.010148,0.011574,0.011791,0.012089,0.015229,0.014081,0.01815,0.019948,0.022108,0.021562,0.026051,0.028195,0.032454,0.031953,0.033601,0.042577,0.04645,0.051662,0.057205,0.060692,0.073272,0.073837,0.082081,0.091702,0.106684,0.10705,0.123742,0.151405,0.15828,0.168285,0.183987,0.183812,0.197783,0.259231,0.266438
1953,0.00622,0.005979,0.007149,0.00805,0.009606,0.010754,0.010253,0.012244,0.013433,0.013918,0.016802,0.016509,0.017921,0.019359,0.022164,0.023097,0.02706,0.027952,0.032695,0.034287,0.039496,0.044972,0.049799,0.052051,0.064277,0.061877,0.076081,0.082091,0.087942,0.101776,0.114036,0.117307,0.137019,0.158107,0.188666,0.176991,0.221103,0.258193,0.237818,0.283358
1954,0.005846,0.006856,0.007495,0.007918,0.010148,0.009282,0.010603,0.012057,0.012483,0.014897,0.015968,0.016556,0.01936,0.02266,0.024194,0.024013,0.02924,0.029015,0.031507,0.036115,0.03874,0.046846,0.052334,0.05715,0.057654,0.063808,0.078003,0.082382,0.090296,0.104402,0.11576,0.123896,0.1389,0.149573,0.182712,0.192143,0.2081,0.205293,0.255276,0.258745
1955,0.005757,0.00697,0.007398,0.008849,0.009038,0.010752,0.01005,0.011815,0.013731,0.014503,0.015312,0.015413,0.020336,0.020027,0.02318,0.026216,0.029218,0.031393,0.032326,0.036381,0.038414,0.043992,0.049624,0.049448,0.058025,0.062985,0.073079,0.081814,0.091534,0.096739,0.102828,0.117742,0.141098,0.152169,0.161859,0.178174,0.204778,0.204988,0.20741,0.261598
1956,0.006465,0.006052,0.008232,0.008033,0.008657,0.010878,0.010741,0.012363,0.014175,0.015534,0.01594,0.015596,0.01918,0.019646,0.024626,0.025099,0.028335,0.027758,0.034459,0.037351,0.040477,0.041222,0.04444,0.053888,0.062859,0.064493,0.069585,0.078591,0.08609,0.10212,0.109381,0.114167,0.147794,0.142984,0.160928,0.188144,0.196741,0.214475,0.234783,0.254836
1957,0.006228,0.007493,0.007971,0.008151,0.009183,0.010704,0.011204,0.01278,0.014361,0.016011,0.016558,0.018148,0.019414,0.021497,0.023505,0.026367,0.028931,0.032168,0.033264,0.039949,0.042023,0.048463,0.04668,0.053936,0.062716,0.067036,0.076699,0.080988,0.091602,0.10171,0.10954,0.128369,0.135953,0.157589,0.173832,0.176294,0.211209,0.219821,0.233852,0.287595
1958,0.006162,0.007658,0.007402,0.009001,0.008379,0.009663,0.0111,0.012127,0.013768,0.014095,0.016311,0.018538,0.020583,0.020838,0.021697,0.025857,0.027209,0.032409,0.031177,0.036992,0.044133,0.046743,0.049579,0.058672,0.058569,0.065653,0.073647,0.075338,0.090603,0.0955,0.119393,0.127875,0.139509,0.149451,0.161672,0.196891,0.193716,0.226728,0.257398,0.272393
1959,0.005864,0.006342,0.007747,0.008273,0.008221,0.01036,0.01058,0.012295,0.014005,0.014617,0.014938,0.019089,0.018404,0.020269,0.022992,0.024893,0.027021,0.029846,0.033348,0.034959,0.040914,0.042995,0.047284,0.055929,0.060374,0.067903,0.071923,0.081282,0.089848,0.100549,0.108624,0.113402,0.135758,0.150581,0.160663,0.169043,0.195614,0.224413,0.252863,0.270833
1960,0.005806,0.006475,0.007083,0.008047,0.009424,0.009446,0.011415,0.012582,0.013933,0.014058,0.015146,0.019031,0.019348,0.021121,0.02432,0.026662,0.030731,0.029695,0.036513,0.036478,0.042644,0.04577,0.051198,0.055718,0.059102,0.066486,0.077708,0.087201,0.093954,0.105091,0.110444,0.119095,0.148713,0.153068,0.1695,0.195287,0.206235,0.204629,0.231175,0.256139
1961,0.005094,0.00723,0.007095,0.008778,0.009642,0.010728,0.011414,0.013197,0.013219,0.014832,0.015652,0.018016,0.020435,0.020607,0.024243,0.02751,0.029184,0.032077,0.035347,0.035236,0.04277,0.043854,0.046563,0.055436,0.057952,0.069241,0.07355,0.080766,0.087164,0.104303,0.105646,0.123471,0.133376,0.143349,0.175375,0.193501,0.203745,0.207375,0.260403,0.259157
1962,0.006382,0.00703,0.007249,0.007654,0.010663,0.010766,0.010419,0.013013,0.014296,0.017661,0.018561,0.017285,0.020157,0.02278,0.026215,0.027453,0.029008,0.033525,0.035875,0.039101,0.041921,0.051614,0.052802,0.055688,0.06187,0.068108,0.072408,0.089419,0.096083,0.10144,0.117977,0.119138,0.146051,0.15631,0.166876,0.18524,0.190781,0.231302,0.251502,0.282353
1963,0.005156,0.006284,0.007282,0.008774,0.009854,0.010593,0.011841,0.013303,0.014086,0.017381,0.016676,0.017946,0.020876,0.023136,0.0246,0.026247,0.03214,0.032936,0.035232,0.039946,0.042418,0.045822,0.054142,0.05364,0.063814,0.065199,0.075947,0.084553,0.091362,0.102071,0.11877,0.128371,0.140322,0.144126,0.159363,0.181953,0.218026,0.219661,0.224964,0.272459
1964,0.006278,0.007015,0.006892,0.008798,0.008787,0.01148,0.012263,0.013376,0.014352,0.015563,0.017792,0.020538,0.021709,0.022109,0.029302,0.026872,0.031204,0.034373,0.039624,0.03897,0.044557,0.049435,0.053881,0.057997,0.05878,0.069746,0.072563,0.083134,0.09702,0.112771,0.113081,0.125765,0.130069,0.152952,0.166376,0.180634,0.215093,0.211066,0.264212,0.242911
