year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.006012,0.006645,0.006916,0.007541,0.008337,0.008631,0.009397,0.009789,0.010839,0.012023,0.013282,0.013235,0.015063,0.017412,0.018853,0.020215,0.022469,0.025229,0.028791,0.031321,0.034758,0.03916,0.043549,0.048152,0.054601,0.060463,0.069064,0.075159,0.084154,0.092119,0.102868,0.116278,0.127695,0.140846,0.155282,0.170351,0.187758,0.206549,0.220267,0.243763
1951,0.006327,0.006504,0.007193,0.007951,0.008513,0.008804,0.009231,0.010707,0.011734,0.012141,0.013234,0.014985,0.015659,0.017717,0.020064,0.021518,0.023124,0.026134,0.028789,0.031887,0.035899,0.040707,0.046112,0.051309,0.056883,0.064591,0.073425,0.082349,0.08991,0.100599,0.112152,0.122804,0.140962,0.156481,0.169929,0.18914,0.205407,0.228321,0.249239,0.278889
1952,0.005844,0.006237,0.006875,0.007571,0.008093,0.008374,0.008795,0.009687,0.010421,0.011507,0.012296,0.013283,0.014923,0.016134,0.018158,0.019796,0.022412,0.023905,0.02682,0.030311,0.033865,0.03684,0.042607,0.047129,0.052796,0.056936,0.064562,0.072977,0.082042,0.092051,0.099964,0.1113,0.126742,0.137533,0.1503,0.171829,0.18478,0.199092,0.227118,0.240935
1953,0.006162,0.006368,0.007319,0.00742,0.007968,0.008556,0.009645,0.010052,0.01087,0.011661,0.013036,0.01412,0.014873,0.016777,0.018371,0.020643,0.022688,0.024844,0.027575,0.031295,0.035596,0.039249,0.044238,0.050169,0.056531,0.063471,0.070989,0.079907,0.088414,0.102644,0.110125,0.124195,0.13656,0.153036,0.167204,0.183504,0.206716,0.230517,0.245728,0.268707
1954,0.005612,0.006067,0.006581,0.006952,0.007343,0.008054,0.008871,0.009284,0.010218,0.011272,0.012392,0.012952,0.014658,0.015351,0.017401,0.019283,0.020685,0.023168,0.026392,0.027951,0.032468,0.035964,0.038981,0.043596,0.050458,0.057665,0.064631,0.070941,0.078165,0.087002,0.099046,0.107878,0.118441,0.13417,0.147118,0.161962,0.179905,0.19499,0.215266,0.232615
1955,0.005482,0.005867,0.006133,0.006781,0.007399,0.007986,0.008707,0.009158,0.009773,0.010823,0.011882,0.012721,0.013935,0.015471,0.017277,0.018669,0.020863,0.022909,0.025456,0.028899,0.030994,0.035091,0.039975,0.044324,0.049359,0.055853,0.063561,0.071521,0.081201,0.089371,0.100056,0.107656,0.122802,0.136173,0.151692,0.167593,0.186417,0.205371,0.220772,0.24141
1956,0.005508,0.005811,0.006267,0.006941,0.00727,0.007499,0.008325,0.009156,0.009831,0.010894,0.011738,0.013045,0.014074,0.015373,0.016907,0.018491,0.02141,0.023037,0.025661,0.028527,0.032475,0.036502,0.04103,0.044501,0.051792,0.057536,0.065111,0.074062,0.083622,0.092745,0.102364,0.114549,0.1303,0.142855,0.158201,0.174752,0.194055,0.216403,0.230015,0.264215
1957,0.005159,0.005478,0.005988,0.006618,0.007002,0.007703,0.007945,0.00868,0.00955,0.010167,0.011693,0.012393,0.013764,0.01493,0.016672,0.01854,0.020383,0.021917,0.024618,0.027811,0.031893,0.035077,0.039705,0.043712,0.048638,0.05602,0.061545,0.068553,0.07807,0.087066,0.0948,0.107195,0.117061,0.134431,0.147308,0.161914,0.182453,0.200219,0.223024,0.239588
1958,0.004939,0.004841,0.005537,0.006024,0.006282,0.006802,0.007621,0.007963,0.0087,0.009323,0.010534,0.01139,0.012203,0.013827,0.015411,0.017111,0.018717,0.020917,0.023377,0.025777,0.028845,0.032581,0.036025,0.03995,0.046554,0.052142,0.058548,0.064277,0.072526,0.083458,0.092286,0.101014,0.115308,0.128252,0.142104,0.156103,0.17422,0.1911,0.206601,0.23422
1959,0.004734,0.005082,0.005491,0.00597,0.006277,0.006983,0.007306,0.008206,0.008728,0.00948,0.010318,0.011455,0.012723,0.013944,0.015054,0.017007,0.018965,0.020157,0.022951,0.025449,0.028107,0.03178,0.03612,0.040289,0.045956,0.051446,0.058657,0.064266,0.072586,0.082819,0.091689,0.101781,0.112581,0.12791,0.138397,0.153547,0.171915,0.18601,0.207604,0.221526
