year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.011147,0.011836,0.012896,0.013727,0.014879,0.015623,0.017183,0.018302,0.019195,0.021536,0.022553,0.024579,0.026388,0.029171,0.031707,0.034288,0.037492,0.040098,0.044915,0.047523,0.052456,0.05919,0.064919,0.069877,0.077697,0.084536,0.094311,0.103413,0.111321,0.124003,0.138327,0.149354,0.165761,0.183302,0.196618,0.215332,0.233147,0.254026,0.284983,0.295569
1951,0.011473,0.012223,0.013601,0.013846,0.015078,0.016379,0.018278,0.019312,0.020724,0.021848,0.023554,0.025898,0.027486,0.030083,0.033305,0.03618,0.039106,0.042618,0.046531,0.050416,0.056134,0.06152,0.068798,0.075062,0.081003,0.09197,0.100332,0.111359,0.125021,0.136212,0.146719,0.163756,0.181545,0.193238,0.214683,0.235751,0.264809,0.283853,0.302597,0.334145
1952,0.010922,0.011613,0.012119,0.013503,0.0148,0.01529,0.017184,0.018808,0.020086,0.021219,0.022705,0.024227,0.026206,0.028705,0.031616,0.033507,0.036632,0.039994,0.044222,0.048358,0.052524,0.057355,0.063314,0.069464,0.075631,0.082802,0.093101,0.101252,0.11132,0.124549,0.133525,0.14811,0.158692,0.174429,0.199315,0.215593,0.234615,0.251089,0.28594,0.305462
1953,0.011035,0.012073,0.012745,0.014148,0.015426,0.016353,0.018445,0.018756,0.021232,0.022538,0.023822,0.025717,0.027905,0.029624,0.032215,0.036049,0.039402,0.042309,0.047284,0.050983,0.055688,0.061317,0.068396,0.073847,0.083605,0.092004,0.102116,0.109958,0.122241,0.132654,0.147322,0.157399,0.177006,0.195399,0.206017,0.234131,0.25631,0.276008,0.302539,0.327334
1954,0.010498,0.011704,0.012235,0.013159,0.015157,0.015841,0.01727,0.018548,0.019249,0.021003,0.023097,0.02514,0.026714,0.028358,0.031237,0.033175,0.035821,0.039765,0.043683,0.047438,0.051744,0.055979,0.063355,0.068204,0.076156,0.083907,0.09116,0.098188,0.109008,0.120661,0.132208,0.145239,0.156521,0.172513,0.193223,0.210473,0.23066,0.253283,0.278015,0.306518
1955,0.010472,0.011272,0.012267,0.013544,0.01449,0.015727,0.017177,0.018305,0.019851,0.021932,0.023176,0.024776,0.026106,0.029527,0.031203,0.033317,0.035777,0.039909,0.043585,0.048273,0.051743,0.056556,0.063996,0.071309,0.075612,0.084102,0.092957,0.100464,0.11166,0.121377,0.136777,0.147264,0.163575,0.174137,0.193859,0.209215,0.240188,0.258769,0.279296,0.304577
1956,0.011036,0.011488,0.012638,0.014021,0.014762,0.016105,0.017659,0.019499,0.020752,0.022358,0.023732,0.026156,0.028029,0.03056,0.031627,0.034821,0.038239,0.040998,0.044835,0.050235,0.055092,0.058083,0.064332,0.071347,0.078568,0.086207,0.096623,0.108403,0.116963,0.1266,0.140567,0.153874,0.171676,0.185992,0.206346,0.223485,0.245504,0.270826,0.295192,0.326712
1957,0.010057,0.011368,0.012665,0.01307,0.014756,0.016129,0.017105,0.019155,0.020378,0.02211,0.023945,0.025381,0.027966,0.029656,0.03218,0.0344,0.038418,0.041027,0.044382,0.049707,0.054467,0.058282,0.063367,0.070276,0.077622,0.084473,0.089387,0.102792,0.110791,0.121812,0.132361,0.144596,0.159267,0.175292,0.188716,0.208538,0.234463,0.253116,0.277363,0.301956
1958,0.009292,0.009981,0.010728,0.011777,0.013384,0.014359,0.016009,0.016992,0.018239,0.020492,0.021949,0.023108,0.024874,0.027027,0.029551,0.031695,0.03445,0.036181,0.040385,0.044311,0.048177,0.052727,0.057808,0.062866,0.071821,0.076304,0.085815,0.092309,0.105146,0.115749,0.125555,0.134934,0.152233,0.168427,0.185858,0.199712,0.213521,0.235898,0.259845,0.285935
1959,0.009219,0.010219,0.010958,0.01191,0.013485,0.014155,0.016433,0.017347,0.01903,0.02013,0.022108,0.023977,0.025824,0.027943,0.029979,0.032429,0.034708,0.038029,0.039862,0.043435,0.0488,0.05464,0.059022,0.064913,0.07059,0.077526,0.086065,0.094633,0.10037,0.114606,0.124708,0.137376,0.153363,0.167578,0.178744,0.195941,0.217516,0.226991,0.251968,0.276573
