year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.005546,0.005281,0.006518,0.006918,0.007822,0.007827,0.008891,0.00977,0.010352,0.012022,0.012805,0.014073,0.015629,0.017653,0.018956,0.021354,0.02233,0.026256,0.028598,0.033122,0.036217,0.038578,0.045119,0.051431,0.057296,0.065795,0.073603,0.076755,0.088096,0.100291,0.104148,0.112111,0.128155,0.148624,0.156383,0.172394,0.199448,0.207565,0.218494,0.246696
1951,0.005442,0.00602,0.006346,0.007066,0.007625,0.0082,0.009541,0.009854,0.011187,0.011901,0.013062,0.014215,0.016627,0.017925,0.020385,0.022551,0.024116,0.027698,0.030026,0.036693,0.037654,0.041029,0.049226,0.054359,0.062665,0.068681,0.07713,0.084365,0.096611,0.106853,0.115052,0.124339,0.138568,0.158128,0.177799,0.185875,0.208659,0.224575,0.24592,0.264263
1952,0.004901,0.005363,0.006343,0.006273,0.007106,0.007258,0.0088,0.00942,0.010293,0.010856,0.011779,0.012758,0.01521,0.016915,0.018056,0.019342,0.021006,0.024306,0.027657,0.031581,0.033411,0.03593,0.042293,0.048,0.054174,0.059434,0.066436,0.070897,0.082727,0.094648,0.09742,0.105354,0.123541,0.13264,0.156493,0.166163,0.18044,0.193443,0.210719,0.232551
1953,0.004732,0.005107,0.005969,0.006548,0.006628,0.006947,0.00824,0.008666,0.010331,0.011231,0.011995,0.012274,0.01471,0.016665,0.017884,0.019469,0.02108,0.024341,0.027678,0.030347,0.032762,0.034758,0.041584,0.048917,0.0537,0.059685,0.067105,0.072061,0.084853,0.091944,0.100869,0.105553,0.123533,0.136677,0.147365,0.166901,0.189667,0.19452,0.210797,0.227754
1954,0.004691,0.005059,0.005718,0.006783,0.006841,0.006938,0.00786,0.00861,0.009772,0.011045,0.011394,0.012356,0.013974,0.016376,0.017849,0.019148,0.020622,0.023702,0.026668,0.03007,0.033206,0.034837,0.040775,0.045785,0.053659,0.055927,0.063059,0.071917,0.078379,0.090714,0.096498,0.105208,0.11673,0.13169,0.150588,0.158892,0.17577,0.19353,0.202872,0.227306
1955,0.00487,0.004885,0.005699,0.005998,0.007287,0.00729,0.00755,0.008562,0.009746,0.010606,0.011916,0.012365,0.014487,0.015419,0.017209,0.019688,0.021363,0.023937,0.026572,0.029877,0.033441,0.035918,0.042143,0.048253,0.053345,0.059015,0.065108,0.07063,0.081946,0.090665,0.102212,0.108956,0.124302,0.135212,0.157673,0.169389,0.187169,0.205654,0.214937,0.243555
1956,0.004485,0.004895,0.005488,0.005965,0.00654,0.007292,0.008043,0.008056,0.009342,0.010275,0.011398,0.012545,0.013791,0.01599,0.017459,0.019189,0.021217,0.023909,0.026315,0.028827,0.032925,0.035446,0.041598,0.047466,0.052436,0.057793,0.06599,0.071265,0.081502,0.09162,0.099741,0.106399,0.120204,0.138218,0.153227,0.169259,0.191869,0.197388,0.218515,0.245351
1957,0.004925,0.004836,0.005583,0.005978,0.006447,0.006483,0.008331,0.009118,0.009034,0.010091,0.011577,0.012001,0.014424,0.016085,0.017179,0.01879,0.020224,0.023882,0.025324,0.028413,0.031857,0.034795,0.040923,0.045815,0.050676,0.054412,0.062562,0.067694,0.075971,0.084213,0.094006,0.100659,0.116152,0.123466,0.141567,0.150731,0.167823,0.183932,0.201549,0.22641
1958,0.004681,0.004873,0.005335,0.006005,0.006456,0.006752,0.007431,0.008431,0.00948,0.010027,0.010733,0.012073,0.013845,0.015869,0.017061,0.018826,0.019609,0.023378,0.025696,0.029342,0.031506,0.034824,0.039775,0.045046,0.051371,0.057177,0.063253,0.069399,0.079456,0.086648,0.096667,0.101535,0.118619,0.132595,0.145769,0.160092,0.179529,0.197962,0.20812,0.226573
1959,0.004586,0.004792,0.005441,0.005501,0.006422,0.006476,0.007476,0.007846,0.009809,0.010393,0.011055,0.011546,0.013784,0.014973,0.017177,0.018725,0.020158,0.022057,0.025051,0.028882,0.031056,0.033714,0.039768,0.044969,0.051407,0.055036,0.0638,0.067343,0.078975,0.088436,0.091641,0.100528,0.115753,0.128441,0.146912,0.156129,0.176818,0.186611,0.208252,0.227224
1960,0.00464,0.004543,0.005348,0.005597,0.006295,0.006515,0.007219,0.007954,0.008811,0.009912,0.0114,0.010951,0.01354,0.015469,0.016392,0.017862,0.019276,0.022749,0.025285,0.027678,0.030801,0.033281,0.037708,0.042145,0.048152,0.054971,0.060934,0.067819,0.077713,0.084361,0.092553,0.09762,0.112314,0.12578,0.14326,0.156809,0.168645,0.187099,0.201953,0.21859
1961,0.004419,0.004851,0.005531,0.006026,0.006318,0.006429,0.007372,0.008298,0.00894,0.009837,0.01134,0.012402,0.013546,0.015086,0.016711,0.01829,0.020159,0.022986,0.026053,0.028667,0.032919,0.034677,0.040891,0.045531,0.050092,0.056362,0.062219,0.070219,0.078156,0.088282,0.09364,0.104862,0.118388,0.131869,0.143057,0.159796,0.18144,0.187486,0.210358,0.220812
1962,0.004454,0.004673,0.005305,0.005836,0.006251,0.006648,0.00749,0.008074,0.009126,0.009819,0.010821,0.012355,0.014576,0.014663,0.016609,0.018083,0.019719,0.022727,0.025493,0.028367,0.031098,0.034149,0.039447,0.044948,0.050265,0.054721,0.061734,0.067415,0.077369,0.087716,0.090717,0.10318,0.117109,0.126593,0.148012,0.158288,0.178246,0.195766,0.204059,0.224904
1963,0.004396,0.004739,0.005444,0.00565,0.006334,0.006736,0.0076,0.008154,0.008858,0.010102,0.010796,0.011723,0.014237,0.015446,0.016402,0.018265,0.019449,0.023467,0.026504,0.028701,0.032379,0.034566,0.040133,0.045496,0.050472,0.055793,0.061725,0.066469,0.077786,0.088031,0.095863,0.102942,0.121806,0.133058,0.143903,0.162677,0.176423,0.196676,0.212778,0.230527
1964,0.004472,0.004522,0.005102,0.00575,0.006331,0.006262,0.007307,0.007611,0.00868,0.009441,0.010526,0.01098,0.012622,0.014485,0.015841,0.017295,0.018707,0.021683,0.023494,0.02639,0.029672,0.031427,0.036008,0.041955,0.047155,0.050476,0.055521,0.059813,0.065757,0.0751,0.085541,0.093521,0.103883,0.119748,0.132364,0.142063,0.15646,0.16849,0.180889,0.206867
1965,0.004517,0.004567,0.005312,0.005694,0.006119,0.006577,0.006795,0.008084,0.0089,0.009611,0.010197,0.011192,0.012769,0.014002,0.015917,0.017811,0.018312,0.021354,0.024159,0.026564,0.029592,0.031279,0.038975,0.041067,0.046298,0.050843,0.056685,0.062352,0.068319,0.072484,0.087015,0.091445,0.104138,0.116655,0.13252,0.144308,0.159176,0.177254,0.185944,0.203237
1966,0.004735,0.004878,0.005238,0.005717,0.006432,0.006584,0.007216,0.007865,0.008741,0.009527,0.01014,0.011205,0.012872,0.014197,0.015501,0.018022,0.019225,0.02064,0.023758,0.027079,0.029747,0.032097,0.037234,0.041934,0.046756,0.05124,0.058994,0.062232,0.072266,0.075815,0.08816,0.096053,0.10605,0.121299,0.132486,0.146448,0.161032,0.17563,0.191296,0.210978
1967,0.004469,0.0046,0.005146,0.005569,0.006176,0.006235,0.007221,0.007445,0.008633,0.009391,0.010095,0.010846,0.012189,0.013895,0.015034,0.016264,0.018875,0.020683,0.022435,0.024967,0.027659,0.030296,0.035715,0.039428,0.045107,0.048743,0.056069,0.057544,0.064954,0.073472,0.082143,0.089311,0.101666,0.111401,0.126301,0.13412,0.152689,0.167642,0.172975,0.199233
1968,0.004237,0.004855,0.005216,0.005612,0.006386,0.006452,0.007246,0.0079,0.008811,0.009333,0.01057,0.011051,0.012611,0.01452,0.015766,0.016486,0.018328,0.022261,0.022951,0.025646,0.029054,0.031916,0.036842,0.04111,0.047454,0.051337,0.057981,0.061615,0.071355,0.078418,0.086555,0.093937,0.109004,0.121132,0.133398,0.145644,0.166606,0.179226,0.193412,0.213732
1969,0.00431,0.004636,0.005568,0.005966,0.006335,0.006888,0.007682,0.008041,0.008986,0.009759,0.010726,0.011676,0.012882,0.014173,0.015672,0.017454,0.018651,0.021275,0.024853,0.026872,0.028554,0.032572,0.03756,0.04171,0.045994,0.050498,0.057418,0.060994,0.069618,0.075761,0.085724,0.090121,0.103721,0.114015,0.126911,0.13703,0.154701,0.169137,0.183228,0.196057
1970,0.004764,0.004623,0.005323,0.005633,0.005941,0.006763,0.007146,0.008144,0.008461,0.009467,0.010816,0.011066,0.01269,0.013364,0.015242,0.016838,0.018587,0.020982,0.02316,0.02585,0.029379,0.030778,0.035663,0.040303,0.044444,0.049771,0.055884,0.060499,0.066866,0.073331,0.08376,0.090951,0.102363,0.111599,0.127505,0.138743,0.152642,0.16284,0.183776,0.197664
1971,0.004293,0.005082,0.005264,0.005589,0.006104,0.006548,0.007041,0.007952,0.008716,0.009261,0.010187,0.010858,0.012159,0.013694,0.014507,0.016108,0.01712,0.020068,0.021886,0.024034,0.027145,0.030518,0.03407,0.038125,0.043066,0.047539,0.053456,0.057995,0.06615,0.07277,0.081294,0.088523,0.09907,0.112806,0.120354,0.13525,0.151422,0.163517,0.178112,0.196177
1972,0.004647,0.005107,0.005704,0.005503,0.006171,0.006769,0.007383,0.008335,0.009027,0.009461,0.010526,0.011241,0.012249,0.013919,0.015038,0.016378,0.017468,0.02058,0.022553,0.02572,0.028011,0.030936,0.036467,0.039366,0.043728,0.048913,0.054965,0.061399,0.067075,0.076678,0.08286,0.090989,0.105154,0.11472,0.124753,0.138475,0.158949,0.166056,0.182542,0.202923
1973,0.004503,0.004574,0.005329,0.006151,0.005583,0.006511,0.007317,0.007549,0.008821,0.009342,0.010322,0.01103,0.012125,0.013398,0.014524,0.016751,0.017699,0.019985,0.022292,0.025219,0.027777,0.0302,0.035018,0.038757,0.042497,0.047988,0.053866,0.059131,0.066343,0.075332,0.082495,0.089274,0.101162,0.115584,0.129588,0.139585,0.15528,0.167322,0.187919,0.199222
1974,0.004564,0.004765,0.005235,0.005613,0.006671,0.006086,0.006914,0.008187,0.008711,0.009531,0.010526,0.011003,0.012477,0.013149,0.014523,0.016241,0.018334,0.019483,0.021746,0.024219,0.027035,0.030156,0.034193,0.037201,0.043327,0.04658,0.053539,0.058588,0.064681,0.07179,0.079934,0.089728,0.100065,0.110301,0.123574,0.137365,0.151602,0.164798,0.181262,0.198373
1975,0.00446,0.004957,0.005239,0.005412,0.00585,0.00711,0.006785,0.007404,0.008492,0.009303,0.010099,0.011022,0.01208,0.01307,0.015056,0.016159,0.017948,0.019187,0.021336,0.02362,0.026359,0.029102,0.032851,0.036305,0.041656,0.046857,0.049773,0.056989,0.063886,0.071718,0.080286,0.087377,0.09925,0.109295,0.123704,0.135391,0.150998,0.166278,0.175016,0.194896
1976,0.00462,0.004653,0.00516,0.005704,0.006139,0.006563,0.007706,0.007371,0.008344,0.009301,0.010089,0.011612,0.012496,0.013266,0.014927,0.016127,0.017838,0.019782,0.021323,0.024103,0.027111,0.029815,0.033185,0.037675,0.040923,0.047049,0.053432,0.057841,0.064239,0.072807,0.082044,0.089985,0.100932,0.115675,0.12607,0.140051,0.156341,0.171699,0.185524,0.203313
