year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.008712,0.008931,0.010398,0.012039,0.013046,0.013637,0.015454,0.01713,0.018988,0.021331,0.022692,0.024544,0.028381,0.031732,0.035343,0.038272,0.038713,0.042812,0.04634,0.051875,0.05468,0.058624,0.069121,0.074793,0.081315,0.089158,0.09665,0.106014,0.113469,0.133616,0.138609,0.146072,0.169563,0.185758,0.209169,0.22127,0.249849,0.26124,0.274682,0.310881
1951,0.009039,0.010052,0.011122,0.012864,0.013814,0.014376,0.016619,0.018518,0.020876,0.022456,0.024829,0.027571,0.031754,0.033629,0.037513,0.041005,0.042209,0.048239,0.052666,0.057431,0.060382,0.064806,0.075119,0.079848,0.091101,0.096146,0.110037,0.116528,0.132059,0.142494,0.151389,0.160827,0.181616,0.201414,0.226897,0.236536,0.27316,0.298645,0.308375,0.331081
1952,0.00803,0.009347,0.010654,0.011183,0.01275,0.013446,0.016315,0.017389,0.020135,0.021155,0.021594,0.024244,0.028256,0.031409,0.034284,0.037953,0.038312,0.043717,0.047204,0.052966,0.054432,0.058305,0.069189,0.073632,0.07996,0.086305,0.098649,0.103243,0.117697,0.129945,0.133478,0.14252,0.168484,0.178767,0.20383,0.215524,0.242107,0.257235,0.268947,0.304468
1953,0.007878,0.008634,0.010377,0.011949,0.012447,0.013193,0.015502,0.017541,0.019322,0.021341,0.022636,0.023793,0.028775,0.032001,0.034453,0.036461,0.038031,0.044977,0.049135,0.052584,0.056172,0.058033,0.069115,0.07708,0.080133,0.08697,0.099022,0.10157,0.117536,0.128443,0.13511,0.145073,0.167985,0.178158,0.198574,0.212657,0.240917,0.253,0.27272,0.291022
1954,0.007937,0.008284,0.009897,0.011389,0.012949,0.013018,0.015449,0.017277,0.019433,0.021233,0.022063,0.024127,0.027308,0.03155,0.03422,0.037176,0.038454,0.042503,0.047743,0.052822,0.056949,0.059044,0.066079,0.075428,0.081708,0.086665,0.094459,0.104142,0.115795,0.129404,0.131625,0.146312,0.163497,0.184842,0.200663,0.207373,0.234707,0.262474,0.278106,0.290906
1955,0.007799,0.008532,0.010059,0.011052,0.01277,0.013948,0.01493,0.0173,0.019522,0.020613,0.022484,0.024383,0.027844,0.031094,0.034455,0.037393,0.038966,0.044877,0.046985,0.053134,0.057281,0.060093,0.069451,0.074575,0.083471,0.090496,0.099718,0.108512,0.119439,0.136354,0.139793,0.148316,0.168626,0.183837,0.208004,0.227137,0.244894,0.26366,0.284842,0.320649
1956,0.007568,0.008293,0.009596,0.01108,0.011892,0.014116,0.015463,0.017171,0.01893,0.021136,0.022984,0.024156,0.028245,0.030717,0.034337,0.036888,0.038749,0.04463,0.049227,0.051273,0.057057,0.06078,0.069503,0.07619,0.083624,0.09002,0.10148,0.106379,0.119637,0.132566,0.137366,0.148241,0.163312,0.188535,0.202833,0.22703,0.243494,0.261307,0.284203,0.313818
1957,0.007441,0.008103,0.009879,0.011322,0.012601,0.013366,0.016322,0.018106,0.018576,0.021489,0.022856,0.02475,0.028915,0.030871,0.035778,0.037575,0.038744,0.044868,0.048773,0.054038,0.057599,0.058642,0.069858,0.075544,0.080678,0.087596,0.096341,0.101844,0.11275,0.124075,0.12925,0.137695,0.15811,0.170584,0.189517,0.199902,0.224949,0.243889,0.259821,0.28406
1958,0.007522,0.008333,0.009633,0.010988,0.012046,0.013149,0.014819,0.017568,0.020001,0.02088,0.022747,0.024392,0.02765,0.030804,0.0344,0.036954,0.038028,0.045445,0.047921,0.052522,0.057007,0.060686,0.070159,0.075774,0.082592,0.089422,0.097227,0.106067,0.114818,0.125862,0.134899,0.145217,0.165249,0.179435,0.193398,0.210343,0.232465,0.26017,0.279822,0.288794
1959,0.007244,0.008187,0.009406,0.010458,0.012269,0.012776,0.014844,0.016721,0.01987,0.021389,0.022452,0.024757,0.028094,0.030973,0.034901,0.036196,0.038911,0.042336,0.046845,0.053161,0.05653,0.058541,0.069212,0.074726,0.083744,0.087169,0.095896,0.101527,0.117336,0.125782,0.130785,0.141421,0.155754,0.170955,0.194252,0.207046,0.228646,0.245665,0.277208,0.290167
1960,0.007647,0.007865,0.009066,0.010264,0.011733,0.013092,0.015181,0.016082,0.018411,0.020653,0.023151,0.023856,0.027412,0.031137,0.033122,0.035475,0.037087,0.043265,0.047082,0.051618,0.05571,0.058665,0.065884,0.074063,0.079889,0.08636,0.09739,0.10058,0.111738,0.125664,0.126803,0.134563,0.156192,0.168242,0.191391,0.201928,0.216417,0.241102,0.253258,0.27189
1961,0.007216,0.008151,0.009395,0.010599,0.011505,0.012777,0.015296,0.016524,0.019053,0.020847,0.023724,0.026058,0.02765,0.031734,0.034157,0.037359,0.040025,0.045481,0.048623,0.05272,0.056278,0.061622,0.069448,0.076146,0.08335,0.090674,0.101337,0.105666,0.114249,0.126122,0.132385,0.144435,0.157453,0.17216,0.195483,0.203382,0.232146,0.247618,0.269988,0.293582
1962,0.007209,0.008361,0.009323,0.010302,0.011472,0.012859,0.014977,0.017114,0.018731,0.021126,0.022466,0.026188,0.029524,0.031349,0.034516,0.03767,0.039268,0.046148,0.048964,0.054657,0.057122,0.061896,0.071571,0.075325,0.084155,0.089147,0.097387,0.106127,0.116306,0.126145,0.134353,0.141303,0.164566,0.173198,0.199153,0.210772,0.235424,0.261051,0.254351,0.286446
1963,0.007556,0.008003,0.009471,0.010417,0.011736,0.013078,0.014819,0.016782,0.018778,0.021842,0.023244,0.024562,0.029894,0.03278,0.035332,0.03841,0.040326,0.045774,0.05043,0.053864,0.059235,0.061691,0.070913,0.077721,0.08454,0.090285,0.100076,0.105804,0.119,0.130028,0.136973,0.147891,0.172416,0.183141,0.195012,0.213502,0.240481,0.259387,0.281927,0.306869
