year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.008909,0.009407,0.010711,0.010633,0.011976,0.012077,0.013457,0.014902,0.016046,0.016333,0.018392,0.020373,0.02102,0.025792,0.027163,0.029189,0.033027,0.03583,0.038826,0.04393,0.045696,0.051915,0.056514,0.063046,0.070492,0.076432,0.083852,0.089025,0.099768,0.104687,0.125413,0.134893,0.151835,0.161756,0.181045,0.19593,0.217224,0.236228,0.258665,0.266575
1951,0.008026,0.008415,0.009495,0.010481,0.010412,0.011759,0.012491,0.014037,0.015526,0.01566,0.017505,0.018855,0.020721,0.022175,0.026262,0.027976,0.030562,0.034478,0.03764,0.04166,0.046223,0.050135,0.055332,0.05963,0.066459,0.077876,0.081081,0.086784,0.095389,0.105877,0.116743,0.127915,0.141371,0.163412,0.178129,0.184145,0.210923,0.226371,0.234969,0.249226
1952,0.007746,0.008351,0.008933,0.009374,0.010751,0.010742,0.012058,0.012721,0.015049,0.015479,0.015989,0.01754,0.020031,0.021856,0.023583,0.02772,0.029608,0.032019,0.036268,0.039438,0.042956,0.048872,0.051086,0.059236,0.064104,0.071273,0.07804,0.083395,0.095877,0.1009,0.117194,0.122171,0.137313,0.148174,0.166148,0.182775,0.199049,0.211765,0.244135,0.247083
1953,0.007507,0.008324,0.008541,0.009301,0.009905,0.011203,0.011403,0.012863,0.01422,0.015176,0.016553,0.017951,0.019096,0.021623,0.024502,0.026041,0.030876,0.032734,0.036039,0.041093,0.046157,0.051114,0.057048,0.059934,0.068067,0.073896,0.083423,0.091309,0.101199,0.113019,0.124334,0.141342,0.147597,0.159616,0.176977,0.20087,0.21821,0.239198,0.268325,0.299201
1954,0.007277,0.007879,0.008225,0.008796,0.009144,0.009731,0.011065,0.011578,0.013442,0.013331,0.015354,0.016254,0.018042,0.019242,0.022317,0.024651,0.026269,0.03122,0.033754,0.037389,0.041093,0.04531,0.049577,0.055863,0.058585,0.067141,0.072405,0.080041,0.089518,0.098177,0.105629,0.119683,0.133571,0.141008,0.157643,0.169802,0.191779,0.208748,0.222235,0.241544
1955,0.006772,0.007111,0.007694,0.008338,0.008999,0.009295,0.010044,0.011182,0.01251,0.013579,0.014777,0.01561,0.017744,0.019893,0.020825,0.023432,0.025894,0.028736,0.033023,0.035708,0.040296,0.04416,0.048455,0.053749,0.060418,0.06379,0.073137,0.078368,0.088638,0.096742,0.107985,0.118891,0.126465,0.144217,0.153548,0.173018,0.187846,0.201227,0.226361,0.245856
1956,0.006839,0.007235,0.007661,0.008353,0.008924,0.009568,0.010348,0.011157,0.013639,0.01322,0.015122,0.016187,0.017528,0.020048,0.022009,0.023623,0.026607,0.030388,0.032576,0.039039,0.041295,0.047102,0.051685,0.056325,0.063554,0.070282,0.076613,0.0867,0.092789,0.10458,0.118198,0.128008,0.139845,0.155984,0.17597,0.17999,0.200646,0.21948,0.249594,0.270241
1957,0.00658,0.007118,0.007774,0.008297,0.008858,0.009836,0.010508,0.011243,0.012875,0.013447,0.014452,0.016439,0.018234,0.020237,0.022286,0.024517,0.026677,0.030554,0.034604,0.037635,0.044808,0.047355,0.054141,0.059592,0.06659,0.074245,0.082597,0.087418,0.101429,0.108158,0.122758,0.13764,0.146252,0.161677,0.183832,0.201411,0.21931,0.238545,0.261468,0.284396
1958,0.006154,0.006682,0.006968,0.007719,0.008228,0.009048,0.009735,0.0105,0.011513,0.012095,0.013576,0.014535,0.016506,0.017707,0.019844,0.021658,0.024012,0.025457,0.030125,0.03459,0.037182,0.044594,0.047623,0.053118,0.059,0.064473,0.072351,0.080914,0.08629,0.097565,0.106895,0.120057,0.12816,0.14156,0.15502,0.16769,0.193306,0.196211,0.217444,0.246044
1959,0.005794,0.006458,0.006834,0.007756,0.008104,0.008584,0.009314,0.010334,0.011596,0.01206,0.01308,0.014671,0.015147,0.017628,0.019544,0.021308,0.024228,0.027,0.02876,0.033586,0.037183,0.040913,0.048187,0.051772,0.057789,0.064961,0.071299,0.078335,0.088847,0.094954,0.109984,0.11839,0.132897,0.147211,0.154338,0.171317,0.188116,0.214062,0.21908,0.239114
