year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.011656,0.012289,0.014086,0.014377,0.016259,0.017815,0.019286,0.020824,0.023671,0.024446,0.027164,0.029084,0.031074,0.035975,0.039109,0.04397,0.04765,0.05138,0.05685,0.063002,0.066258,0.074115,0.080094,0.087218,0.094962,0.101246,0.11082,0.119975,0.1277,0.137691,0.156894,0.170309,0.189899,0.205212,0.211197,0.236045,0.273838,0.264038,0.292176,0.345476
1951,0.010803,0.011499,0.012402,0.014073,0.014885,0.016781,0.017923,0.019633,0.02198,0.022541,0.024821,0.028612,0.031086,0.032857,0.038424,0.041732,0.045391,0.048959,0.054643,0.061145,0.06517,0.070094,0.077179,0.082202,0.09089,0.098717,0.10722,0.115762,0.123284,0.130372,0.145543,0.161712,0.176473,0.193252,0.20722,0.225946,0.246107,0.261913,0.274978,0.301694
1952,0.010284,0.010965,0.01168,0.013104,0.014183,0.015148,0.016606,0.018918,0.02134,0.023167,0.024327,0.025884,0.02864,0.03314,0.034302,0.040601,0.042745,0.048038,0.053115,0.058175,0.062022,0.069806,0.071298,0.080415,0.086533,0.096311,0.103833,0.108654,0.121923,0.129011,0.145622,0.152632,0.173292,0.18319,0.198147,0.219983,0.235615,0.247631,0.279187,0.278831
1953,0.010082,0.010746,0.011981,0.012558,0.014376,0.016167,0.016215,0.018642,0.021289,0.023397,0.02436,0.026465,0.029002,0.033021,0.036603,0.038961,0.044973,0.048483,0.054059,0.059128,0.064225,0.072029,0.078912,0.084766,0.094886,0.100987,0.114065,0.125091,0.132413,0.143398,0.161542,0.174396,0.18458,0.207411,0.220202,0.254806,0.279615,0.286791,0.317658,0.334205
1954,0.009941,0.01047,0.011481,0.012778,0.013639,0.014412,0.016872,0.017557,0.020952,0.022243,0.023795,0.026509,0.027988,0.029984,0.0341,0.036875,0.040308,0.047245,0.049351,0.055048,0.060815,0.0659,0.072735,0.078423,0.084205,0.093631,0.097368,0.108631,0.121267,0.128192,0.136053,0.152597,0.169467,0.177735,0.190624,0.211095,0.236066,0.252306,0.267177,0.305282
1955,0.009365,0.010074,0.011062,0.012036,0.013263,0.014091,0.015003,0.016907,0.018702,0.021143,0.023592,0.02491,0.027763,0.030097,0.032658,0.036547,0.040362,0.043543,0.050268,0.053129,0.058905,0.065164,0.070788,0.077057,0.086713,0.089819,0.099939,0.105714,0.118786,0.127996,0.138271,0.151001,0.159272,0.1866,0.178868,0.205508,0.218263,0.23715,0.266593,0.278744
1956,0.009394,0.010286,0.011247,0.012808,0.01355,0.014724,0.015635,0.017365,0.020453,0.021427,0.023477,0.025795,0.028706,0.031265,0.034208,0.036812,0.042522,0.045069,0.047704,0.056585,0.06147,0.067837,0.075097,0.081522,0.090419,0.099669,0.106076,0.116309,0.127923,0.139249,0.151975,0.165639,0.177989,0.195937,0.216102,0.218429,0.248775,0.26781,0.304197,0.336364
1957,0.009421,0.010443,0.011454,0.012501,0.013931,0.015429,0.016877,0.0177,0.021038,0.022951,0.024162,0.026964,0.029784,0.032497,0.035568,0.039026,0.042364,0.047979,0.053471,0.056869,0.067933,0.072018,0.080058,0.086099,0.093886,0.106199,0.115525,0.122968,0.139645,0.146889,0.165341,0.17616,0.190472,0.207341,0.219708,0.259765,0.259004,0.286364,0.313379,0.3233
1958,0.009009,0.009433,0.01093,0.011632,0.012374,0.014061,0.015424,0.016637,0.018928,0.020211,0.022342,0.023897,0.027206,0.029665,0.032217,0.03533,0.038648,0.042217,0.046935,0.052481,0.055745,0.063342,0.069289,0.076765,0.084445,0.090452,0.101387,0.109979,0.116054,0.129983,0.144617,0.15429,0.171933,0.175179,0.191501,0.202696,0.22772,0.240371,0.263723,0.300883
1959,0.008432,0.009207,0.009875,0.011442,0.012956,0.013813,0.015182,0.016978,0.01908,0.019908,0.021127,0.024155,0.026032,0.028829,0.032106,0.034229,0.03871,0.042769,0.045594,0.051815,0.057289,0.061777,0.071099,0.07673,0.083238,0.091108,0.099263,0.108458,0.124614,0.128709,0.146394,0.157521,0.172453,0.187395,0.200746,0.209913,0.233391,0.257963,0.261386,0.294381
