year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.004451,0.004775,0.005281,0.005527,0.006198,0.007238,0.007591,0.007992,0.009169,0.009936,0.010621,0.011863,0.014069,0.016057,0.017993,0.020704,0.021998,0.024197,0.028469,0.031355,0.034787,0.03951,0.043468,0.048348,0.053803,0.061823,0.070066,0.076897,0.08813,0.092705,0.097765,0.11619,0.131946,0.143508,0.160374,0.177977,0.187386,0.210044,0.239144,0.266528
1951,0.004172,0.004785,0.005258,0.005451,0.00609,0.006985,0.00785,0.008503,0.00895,0.009642,0.010718,0.012349,0.013233,0.014566,0.017002,0.019147,0.021419,0.023724,0.02716,0.031517,0.034436,0.037807,0.041225,0.045516,0.051678,0.05913,0.068094,0.07675,0.085601,0.098963,0.10758,0.113377,0.12918,0.143274,0.157794,0.172815,0.189147,0.207422,0.224891,0.252057
1952,0.00439,0.004522,0.005409,0.005862,0.006073,0.006649,0.007022,0.007446,0.008737,0.009424,0.010296,0.011905,0.012775,0.014523,0.017012,0.018825,0.020597,0.022498,0.025318,0.028676,0.031558,0.035608,0.041139,0.048819,0.053846,0.059001,0.06585,0.070722,0.08237,0.092914,0.104158,0.112215,0.119809,0.135588,0.149269,0.170646,0.189709,0.205204,0.216967,0.232569
1953,0.004662,0.004978,0.005154,0.005658,0.006365,0.006965,0.007693,0.008323,0.00883,0.009937,0.011153,0.011737,0.013097,0.014805,0.016626,0.01911,0.020914,0.02295,0.025606,0.029127,0.033703,0.037828,0.041254,0.04641,0.053208,0.061188,0.069395,0.075346,0.083508,0.092498,0.101014,0.117716,0.125023,0.133117,0.151738,0.16483,0.184905,0.2028,0.222556,0.246542
1954,0.004163,0.004544,0.00512,0.005588,0.005945,0.006584,0.006803,0.007565,0.008582,0.009032,0.009692,0.011136,0.01334,0.014811,0.016004,0.018163,0.020154,0.02273,0.025709,0.028099,0.031345,0.035017,0.040603,0.046093,0.049619,0.055727,0.063333,0.072159,0.081407,0.089765,0.102211,0.113283,0.123694,0.133762,0.148338,0.167939,0.180549,0.194161,0.207232,0.221568
1955,0.003711,0.004105,0.004428,0.00516,0.005703,0.00581,0.006801,0.00743,0.007969,0.009117,0.010245,0.011076,0.012049,0.013657,0.014516,0.01663,0.019478,0.021752,0.024486,0.028702,0.03219,0.03492,0.039264,0.045298,0.05193,0.057237,0.063541,0.071182,0.07851,0.086963,0.099847,0.114654,0.126107,0.135963,0.144587,0.158912,0.179851,0.206808,0.227125,0.239382
1956,0.003936,0.004076,0.004269,0.004419,0.004984,0.005712,0.006291,0.007394,0.008059,0.008527,0.009784,0.011326,0.012411,0.013585,0.015824,0.017441,0.019755,0.022896,0.024309,0.026764,0.031508,0.03558,0.040425,0.046622,0.052549,0.058427,0.066436,0.075825,0.085322,0.091915,0.098937,0.117047,0.135492,0.142935,0.157189,0.180358,0.196848,0.219048,0.234195,0.249874
1957,0.003829,0.00433,0.004373,0.004533,0.004916,0.005592,0.006535,0.006884,0.007508,0.008604,0.009902,0.010749,0.011718,0.013068,0.014518,0.016451,0.018236,0.020863,0.024364,0.026758,0.02891,0.03343,0.038631,0.043747,0.050981,0.056442,0.05977,0.068235,0.078918,0.089449,0.096536,0.103827,0.118161,0.135209,0.148364,0.164817,0.178138,0.187829,0.215905,0.237914
1958,0.003748,0.004181,0.004261,0.004497,0.005007,0.005436,0.006352,0.007031,0.007292,0.008151,0.009346,0.010478,0.011261,0.011985,0.013922,0.016071,0.01857,0.021105,0.023148,0.025752,0.029067,0.03395,0.038497,0.042151,0.047307,0.05267,0.060155,0.068351,0.076859,0.08744,0.096102,0.105789,0.118268,0.12947,0.144672,0.161241,0.181539,0.20089,0.214083,0.235978
1959,0.003379,0.003957,0.00427,0.004519,0.005065,0.005351,0.00563,0.00649,0.007444,0.008002,0.008813,0.00993,0.010952,0.012504,0.014225,0.015567,0.017259,0.019538,0.021221,0.024358,0.027443,0.030991,0.036313,0.039711,0.046055,0.053809,0.05879,0.064751,0.071925,0.082315,0.094787,0.107465,0.117173,0.126055,0.13986,0.163606,0.183504,0.20034,0.213506,0.221192
1960,0.003377,0.003703,0.004173,0.00478,0.005036,0.005786,0.006166,0.006344,0.007702,0.008664,0.009308,0.010015,0.010694,0.011592,0.012772,0.014261,0.016718,0.019099,0.021605,0.024446,0.027524,0.031221,0.036355,0.042471,0.048086,0.053474,0.057899,0.064622,0.074012,0.083327,0.095584,0.106191,0.11692,0.128596,0.139359,0.153766,0.176671,0.195099,0.21351,0.229975
1961,0.003318,0.003705,0.004214,0.004841,0.005031,0.005265,0.006051,0.006661,0.006999,0.007335,0.008488,0.009655,0.010266,0.011604,0.013511,0.015702,0.01785,0.018753,0.020355,0.024276,0.027099,0.030132,0.033409,0.037502,0.043995,0.049923,0.056473,0.064686,0.073802,0.080447,0.090812,0.103853,0.111995,0.124306,0.139307,0.154677,0.162402,0.175724,0.200067,0.222398
1962,0.003439,0.003714,0.003824,0.004121,0.004504,0.004878,0.005677,0.006267,0.006992,0.00802,0.008616,0.009377,0.010517,0.012073,0.013474,0.014938,0.017259,0.019177,0.021155,0.023986,0.027243,0.030355,0.035213,0.039984,0.044886,0.050523,0.056105,0.062922,0.07171,0.081388,0.092229,0.103616,0.117391,0.134299,0.145144,0.15888,0.17258,0.186314,0.212209,0.239587
1963,0.003849,0.003916,0.00396,0.00429,0.004594,0.004767,0.005439,0.006258,0.006976,0.007678,0.00832,0.009338,0.010409,0.011735,0.013191,0.01499,0.0173,0.01949,0.021684,0.024684,0.027891,0.030823,0.03389,0.038794,0.044697,0.051469,0.058173,0.062237,0.0701,0.078977,0.087557,0.10212,0.116183,0.1294,0.14074,0.155567,0.174027,0.195241,0.212349,0.229602
1964,0.003462,0.003696,0.003976,0.004537,0.005002,0.005452,0.005593,0.005945,0.006821,0.007804,0.008465,0.009279,0.010635,0.011675,0.012693,0.013885,0.01596,0.018343,0.020244,0.022586,0.025781,0.029763,0.033838,0.03713,0.042016,0.046173,0.051832,0.059526,0.065774,0.073279,0.08398,0.095531,0.102534,0.114747,0.128275,0.138368,0.160489,0.181691,0.190436,0.199431
