year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.006061,0.006673,0.00693,0.007943,0.008514,0.008476,0.009498,0.010865,0.011773,0.012864,0.014174,0.015272,0.016949,0.019046,0.021487,0.023887,0.025557,0.02777,0.031079,0.035055,0.039945,0.043608,0.046756,0.050739,0.057069,0.065432,0.072181,0.080005,0.091341,0.097583,0.105363,0.123336,0.137709,0.155037,0.171738,0.179447,0.193585,0.224094,0.249059,0.283671
1951,0.005732,0.006371,0.007049,0.007681,0.008313,0.0088,0.010064,0.011175,0.011681,0.012539,0.01392,0.015615,0.01774,0.01897,0.019896,0.022625,0.025511,0.027757,0.031321,0.034795,0.036321,0.040861,0.046449,0.051984,0.056908,0.063615,0.074657,0.083827,0.092577,0.104787,0.113451,0.122941,0.1366,0.152825,0.173789,0.189877,0.204999,0.209725,0.244506,0.269462
1952,0.006105,0.006478,0.00652,0.007492,0.00842,0.009153,0.010124,0.011064,0.012009,0.012746,0.013941,0.015439,0.017444,0.018348,0.020033,0.023001,0.024788,0.027129,0.031271,0.035363,0.037599,0.040237,0.044743,0.05094,0.057439,0.061463,0.066975,0.074927,0.086245,0.096906,0.109983,0.121207,0.127423,0.1404,0.153854,0.169526,0.186893,0.207941,0.235219,0.261529
1953,0.005792,0.006459,0.00677,0.007179,0.008254,0.009663,0.010354,0.010976,0.012268,0.013623,0.01474,0.016103,0.017429,0.018985,0.020535,0.022392,0.025063,0.02825,0.030827,0.034853,0.039736,0.042192,0.046262,0.051889,0.059141,0.068567,0.075359,0.081372,0.089169,0.100536,0.108551,0.12336,0.141438,0.147853,0.16493,0.183052,0.19926,0.214314,0.23598,0.267806
1954,0.005673,0.006465,0.00688,0.007805,0.008891,0.009821,0.010711,0.011831,0.013308,0.014436,0.015368,0.016222,0.017499,0.01934,0.021615,0.02309,0.025147,0.028592,0.031536,0.033442,0.036565,0.041819,0.046092,0.051204,0.058273,0.064865,0.07098,0.076797,0.085491,0.098426,0.107545,0.116626,0.135239,0.149592,0.161284,0.181074,0.200748,0.22639,0.252625,0.271042
1955,0.005671,0.006508,0.00704,0.007975,0.008806,0.008986,0.009796,0.010958,0.012701,0.01502,0.015811,0.016752,0.017817,0.019367,0.02159,0.022786,0.025819,0.029369,0.03084,0.034048,0.038056,0.042704,0.04778,0.052594,0.058078,0.066828,0.075482,0.081985,0.088598,0.09604,0.10572,0.121287,0.13365,0.151002,0.171424,0.18762,0.212478,0.228391,0.254585,0.278512
1956,0.005626,0.00625,0.00701,0.007596,0.008219,0.009641,0.010779,0.012108,0.013522,0.014481,0.015677,0.017766,0.019089,0.020033,0.023235,0.025207,0.026174,0.027772,0.03049,0.033918,0.036934,0.042661,0.049808,0.05439,0.060377,0.067708,0.072714,0.079365,0.090227,0.100972,0.112554,0.125518,0.141575,0.159227,0.179599,0.187207,0.201004,0.237884,0.258554,0.279366
1957,0.005495,0.006232,0.007215,0.008042,0.008601,0.00919,0.010044,0.011315,0.012097,0.013117,0.015284,0.016705,0.018034,0.019754,0.020987,0.02335,0.026683,0.028934,0.030809,0.034055,0.037476,0.042333,0.047327,0.050552,0.05743,0.064399,0.068954,0.076595,0.086007,0.097678,0.105371,0.114943,0.130306,0.146408,0.152072,0.168832,0.200806,0.217252,0.235284,0.269214
1958,0.005469,0.006269,0.007017,0.007693,0.008295,0.009299,0.010138,0.011462,0.012865,0.014192,0.015637,0.017185,0.018824,0.020121,0.021742,0.02345,0.025885,0.027404,0.029791,0.033686,0.037648,0.041407,0.04619,0.051778,0.057118,0.06407,0.070011,0.074964,0.084291,0.098099,0.110586,0.121191,0.131366,0.144891,0.16507,0.180363,0.197893,0.215731,0.230069,0.256525
1959,0.00519,0.006131,0.006863,0.007963,0.008711,0.009801,0.011083,0.012065,0.013064,0.014436,0.015812,0.017362,0.018861,0.020457,0.022283,0.023704,0.025654,0.028908,0.032121,0.034707,0.036754,0.0405,0.046947,0.053207,0.05779,0.062304,0.070472,0.078306,0.085029,0.096402,0.103417,0.112012,0.124626,0.140203,0.157437,0.176453,0.192253,0.207375,0.231587,0.259013
1960,0.005707,0.006373,0.006924,0.008164,0.00902,0.009874,0.010895,0.011772,0.013413,0.01456,0.015727,0.017442,0.019144,0.020563,0.022226,0.024607,0.027341,0.0299,0.032824,0.034847,0.037465,0.041925,0.046472,0.050003,0.054113,0.060594,0.068367,0.07635,0.0851,0.093755,0.103808,0.116672,0.13126,0.148035,0.165037,0.17883,0.19309,0.2141,0.235409,0.242353
1961,0.005668,0.006715,0.007597,0.008122,0.008628,0.009621,0.010645,0.011975,0.013624,0.014339,0.015597,0.017566,0.019735,0.021501,0.022825,0.024868,0.027411,0.030099,0.03249,0.035733,0.038152,0.04089,0.044465,0.050472,0.058008,0.062161,0.067578,0.07455,0.081104,0.090556,0.100901,0.112772,0.125839,0.137847,0.149843,0.167583,0.185895,0.200522,0.216935,0.249793
1962,0.005912,0.006735,0.007362,0.008227,0.009296,0.010309,0.011996,0.013172,0.01415,0.015755,0.017477,0.019051,0.020819,0.022809,0.024573,0.027489,0.028977,0.031169,0.034849,0.036509,0.038913,0.041384,0.046082,0.051311,0.057135,0.065038,0.070397,0.079049,0.090461,0.098793,0.110902,0.12159,0.135448,0.154735,0.165312,0.177402,0.191221,0.2075,0.242439,0.264393
1963,0.006014,0.006446,0.007121,0.008252,0.009609,0.010366,0.011069,0.012382,0.014059,0.016087,0.017113,0.018176,0.020262,0.022492,0.025112,0.027894,0.030062,0.032583,0.034803,0.037436,0.040928,0.045556,0.049539,0.053179,0.059702,0.066455,0.070962,0.079047,0.08967,0.097973,0.109005,0.122832,0.135208,0.146141,0.160913,0.179032,0.19458,0.221251,0.247719,0.260403
1964,0.005623,0.006065,0.006944,0.008161,0.009439,0.010827,0.011686,0.012588,0.013938,0.015335,0.016986,0.01862,0.021304,0.023595,0.024768,0.028034,0.030655,0.032527,0.03585,0.038484,0.040586,0.043359,0.04729,0.052116,0.055889,0.060612,0.067832,0.07656,0.085849,0.093772,0.101631,0.107361,0.116997,0.129561,0.142301,0.156318,0.172979,0.189149,0.205126,0.226901
1965,0.00619,0.007312,0.007862,0.008813,0.009814,0.01037,0.011617,0.013015,0.014471,0.016108,0.017471,0.018898,0.020462,0.023169,0.025783,0.027118,0.029799,0.032874,0.035288,0.038991,0.042471,0.045285,0.049521,0.055356,0.059318,0.063758,0.070705,0.077629,0.087162,0.09534,0.103281,0.116195,0.125804,0.136614,0.15153,0.167841,0.187526,0.205901,0.218861,0.243642
