year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.005388,0.00524,0.00564,0.005667,0.007157,0.007908,0.00811,0.009408,0.010124,0.010704,0.011541,0.013421,0.015462,0.016245,0.017805,0.019299,0.022865,0.024791,0.029457,0.031099,0.037382,0.039703,0.042803,0.051657,0.059145,0.061881,0.074786,0.078431,0.08772,0.09804,0.117107,0.121508,0.140701,0.157451,0.171848,0.171329,0.201212,0.234721,0.234566,0.272179
1951,0.004388,0.005477,0.005896,0.00622,0.006565,0.006797,0.008821,0.008782,0.010145,0.010486,0.011793,0.012245,0.01363,0.016295,0.017412,0.019693,0.020968,0.025144,0.027686,0.029473,0.035164,0.03627,0.045816,0.049863,0.053031,0.062673,0.069551,0.080001,0.085753,0.099398,0.108017,0.119227,0.137115,0.153793,0.167534,0.18069,0.211426,0.22514,0.253958,0.268873
1952,0.004639,0.005232,0.005461,0.005838,0.007042,0.007152,0.008238,0.008774,0.008886,0.009952,0.011406,0.012401,0.014786,0.016115,0.016776,0.019434,0.021372,0.023055,0.026937,0.0305,0.035212,0.037942,0.042649,0.047104,0.053419,0.057587,0.068494,0.073214,0.086666,0.093929,0.103403,0.119416,0.129216,0.134959,0.160204,0.167634,0.201345,0.204605,0.229514,0.266731
1953,0.004668,0.005246,0.005387,0.005358,0.006759,0.007323,0.007826,0.007922,0.009073,0.010948,0.011284,0.012902,0.013373,0.014915,0.017212,0.019443,0.020434,0.024415,0.027128,0.031239,0.034588,0.03947,0.045334,0.048236,0.053426,0.05931,0.066997,0.073661,0.086727,0.095089,0.106886,0.122039,0.133829,0.147743,0.157162,0.1728,0.190314,0.214101,0.220708,0.247689
1954,0.004277,0.004253,0.005146,0.005993,0.006143,0.006207,0.007351,0.008077,0.009327,0.009307,0.011038,0.012737,0.012102,0.015447,0.016571,0.018336,0.022587,0.022372,0.026539,0.027971,0.032314,0.036772,0.043177,0.045545,0.051996,0.057324,0.062683,0.07471,0.08247,0.089668,0.10303,0.123171,0.131022,0.141491,0.165467,0.168255,0.19587,0.207482,0.242964,0.250038
1955,0.004387,0.004623,0.005208,0.005762,0.005939,0.006825,0.007167,0.007192,0.00872,0.009999,0.010996,0.011081,0.012394,0.01407,0.015393,0.017718,0.019461,0.022488,0.025779,0.02791,0.031812,0.036342,0.039712,0.046513,0.049621,0.054611,0.063158,0.071562,0.079768,0.08838,0.100853,0.111281,0.12328,0.137333,0.148586,0.161381,0.15682,0.208726,0.202648,0.247326
1956,0.003987,0.003919,0.005138,0.004648,0.005747,0.005693,0.007114,0.007006,0.008289,0.008988,0.009648,0.011882,0.011315,0.01462,0.015234,0.017541,0.02022,0.022506,0.025752,0.02716,0.032152,0.034643,0.041406,0.045423,0.050263,0.057069,0.063304,0.070738,0.07911,0.086754,0.101072,0.107429,0.12038,0.143302,0.153474,0.164034,0.175506,0.20162,0.224428,0.235602
1957,0.003922,0.0042,0.004703,0.005474,0.005133,0.006353,0.00714,0.007546,0.008648,0.008784,0.010324,0.01128,0.012984,0.014536,0.01623,0.016861,0.019994,0.022774,0.023814,0.029289,0.032415,0.038881,0.038384,0.044067,0.051722,0.059481,0.066813,0.074341,0.076476,0.086555,0.105068,0.11946,0.12331,0.134808,0.144677,0.174146,0.190465,0.212558,0.235043,0.265664
1958,0.003997,0.004462,0.004892,0.005112,0.004724,0.005898,0.007013,0.006904,0.007897,0.009139,0.009609,0.011673,0.011692,0.013309,0.015175,0.015859,0.018174,0.022091,0.02577,0.025863,0.031288,0.032821,0.03647,0.043914,0.050639,0.05396,0.061024,0.070933,0.078502,0.086102,0.105095,0.106071,0.123607,0.132305,0.150862,0.163347,0.184489,0.199581,0.226002,0.229533
1959,0.004005,0.003802,0.004304,0.004515,0.005401,0.005462,0.006573,0.006951,0.007436,0.008097,0.010384,0.010124,0.010722,0.013371,0.013911,0.016569,0.017711,0.020639,0.024126,0.024715,0.028659,0.035825,0.036883,0.041838,0.046736,0.051917,0.060053,0.067542,0.073716,0.085425,0.098533,0.106358,0.119082,0.128528,0.139427,0.160614,0.180703,0.193756,0.211688,0.228459
1960,0.004003,0.003967,0.005015,0.004347,0.005545,0.005784,0.006431,0.007591,0.00705,0.00819,0.009679,0.010186,0.010957,0.012912,0.015338,0.01614,0.017398,0.020306,0.022857,0.026261,0.030636,0.033115,0.037136,0.045666,0.050907,0.055624,0.061552,0.071856,0.082675,0.083226,0.094128,0.112994,0.123952,0.132504,0.149834,0.163779,0.18618,0.214164,0.227454,0.238727
1961,0.003728,0.00404,0.004402,0.004673,0.005302,0.005579,0.005282,0.0068,0.007304,0.008554,0.00831,0.01013,0.010566,0.012681,0.014079,0.015129,0.017617,0.019374,0.021303,0.024812,0.030418,0.031571,0.036355,0.042215,0.045284,0.050663,0.058227,0.070077,0.075166,0.088098,0.094276,0.10294,0.123372,0.132285,0.153783,0.154561,0.187122,0.198459,0.211274,0.238931
1962,0.003811,0.003607,0.004527,0.004439,0.00489,0.00475,0.005953,0.006312,0.007747,0.008299,0.008667,0.00886,0.010109,0.013113,0.01464,0.015595,0.017698,0.020401,0.021415,0.023301,0.02822,0.032482,0.035692,0.041466,0.049219,0.053173,0.05971,0.064871,0.07944,0.08306,0.099631,0.110682,0.122215,0.132471,0.156415,0.161846,0.174542,0.203886,0.219343,0.245965
1963,0.00314,0.003973,0.004077,0.004679,0.004839,0.005868,0.006296,0.006213,0.00736,0.008048,0.008189,0.009429,0.0102,0.012156,0.013782,0.015162,0.017626,0.020133,0.021806,0.025018,0.027599,0.029767,0.034719,0.040435,0.042152,0.05209,0.057494,0.067644,0.071998,0.080591,0.090181,0.101549,0.112578,0.131823,0.143393,0.160818,0.179957,0.191357,0.204601,0.231484
1964,0.003447,0.004225,0.004724,0.004209,0.005042,0.005072,0.005742,0.006431,0.007322,0.007584,0.009005,0.008834,0.011002,0.012575,0.014442,0.014046,0.016981,0.018952,0.021545,0.023033,0.0269,0.030098,0.033583,0.037982,0.044915,0.047535,0.057945,0.063868,0.068859,0.078796,0.089673,0.101717,0.108405,0.120468,0.133012,0.153503,0.177624,0.176655,0.194575,0.219088
1965,0.003265,0.004085,0.004089,0.004838,0.00459,0.005218,0.006057,0.006384,0.007384,0.006793,0.00826,0.009172,0.010935,0.011099,0.013067,0.014791,0.0159,0.018583,0.02208,0.022195,0.025692,0.029183,0.032094,0.038223,0.044129,0.048314,0.054722,0.060132,0.070395,0.08063,0.083735,0.094964,0.11273,0.134375,0.132111,0.166349,0.171229,0.192768,0.210494,0.212008
1966,0.00316,0.003756,0.004004,0.004161,0.004743,0.004939,0.005516,0.006401,0.006564,0.007147,0.007804,0.009405,0.010507,0.01153,0.01178,0.012977,0.01523,0.01766,0.019224,0.023695,0.024852,0.030503,0.033513,0.035508,0.04263,0.049357,0.05421,0.059616,0.071618,0.075939,0.084023,0.096026,0.111617,0.12538,0.131198,0.146519,0.16793,0.175051,0.206747,0.237039
1967,0.003301,0.003685,0.003845,0.004073,0.004312,0.004876,0.005159,0.006413,0.006926,0.006946,0.007403,0.008623,0.00999,0.012261,0.010579,0.01364,0.01541,0.017015,0.01884,0.024103,0.024583,0.028804,0.032887,0.035019,0.040818,0.047606,0.052915,0.061707,0.070984,0.081385,0.081282,0.097594,0.105642,0.115292,0.132583,0.153728,0.166548,0.179192,0.203944,0.214635
1968,0.003284,0.003055,0.004153,0.004517,0.004473,0.004693,0.005804,0.006044,0.00739,0.007814,0.00786,0.008662,0.009723,0.011211,0.012444,0.014318,0.016096,0.017014,0.018702,0.021623,0.024819,0.028144,0.034034,0.038698,0.04109,0.04719,0.054774,0.062137,0.068335,0.081035,0.08711,0.097474,0.115339,0.127209,0.129983,0.147052,0.168337,0.179913,0.218459,0.212935
1969,0.003284,0.003772,0.003814,0.004447,0.004981,0.005766,0.005483,0.006029,0.006945,0.006656,0.008461,0.009667,0.010916,0.011271,0.012492,0.012555,0.015298,0.016486,0.018954,0.021478,0.025454,0.029544,0.033092,0.037056,0.042391,0.046089,0.050573,0.059281,0.068329,0.077475,0.082614,0.095363,0.103777,0.119703,0.132493,0.146946,0.164626,0.18065,0.195759,0.217383
1970,0.003693,0.003786,0.003941,0.004481,0.004585,0.004943,0.005266,0.005546,0.00672,0.006766,0.008198,0.008584,0.009488,0.010571,0.011918,0.01334,0.014489,0.0161,0.018344,0.020313,0.023418,0.026372,0.028377,0.032667,0.037507,0.04444,0.049626,0.051322,0.062475,0.069353,0.078617,0.090532,0.099998,0.10817,0.11668,0.127323,0.151364,0.163759,0.178907,0.195789
1971,0.00335,0.003493,0.003839,0.004558,0.004738,0.004503,0.005533,0.0057,0.006725,0.006996,0.007207,0.008296,0.009101,0.010525,0.012583,0.012876,0.013079,0.016878,0.018044,0.018732,0.023389,0.02521,0.028598,0.033711,0.03707,0.042502,0.048482,0.054532,0.061033,0.066422,0.076208,0.087177,0.094381,0.11092,0.11745,0.134939,0.146251,0.154303,0.168805,0.197456
1972,0.00319,0.003519,0.004352,0.004209,0.004579,0.00462,0.005638,0.00588,0.006539,0.0064,0.007576,0.008484,0.009597,0.010102,0.011019,0.012217,0.014139,0.016136,0.017511,0.019962,0.022474,0.025406,0.028769,0.032174,0.03922,0.04158,0.049234,0.05625,0.062054,0.066823,0.074461,0.082755,0.089291,0.106353,0.118944,0.134605,0.148076,0.15742,0.171541,0.191363
1973,0.003458,0.003403,0.003655,0.004283,0.004312,0.004722,0.00533,0.005467,0.006116,0.006249,0.007213,0.007578,0.009025,0.009919,0.011292,0.012223,0.014219,0.016383,0.017259,0.019793,0.021598,0.025853,0.028905,0.030028,0.037613,0.042457,0.045827,0.052059,0.058448,0.067169,0.071046,0.081762,0.094708,0.104188,0.116004,0.140436,0.148449,0.168371,0.181941,0.187971
1974,0.002977,0.00304,0.003926,0.004177,0.004694,0.005064,0.005216,0.006492,0.006196,0.006135,0.007778,0.007905,0.007919,0.009275,0.011766,0.012254,0.0144,0.014781,0.017596,0.019394,0.022025,0.024076,0.028168,0.031908,0.036489,0.039497,0.047237,0.051687,0.056938,0.065007,0.072412,0.081903,0.092903,0.10025,0.109036,0.129298,0.146672,0.146768,0.176535,0.184052
1975,0.003175,0.003517,0.004185,0.003905,0.00458,0.004394,0.006015,0.005388,0.006267,0.006461,0.007361,0.008119,0.00867,0.009746,0.010728,0.012422,0.013526,0.014869,0.016611,0.020096,0.021854,0.023938,0.0283,0.029832,0.033644,0.040764,0.04756,0.052729,0.059292,0.064121,0.073036,0.080226,0.092244,0.105132,0.114883,0.126727,0.144306,0.159932,0.175414,0.185778
1976,0.003445,0.003063,0.003923,0.004063,0.004177,0.004846,0.005205,0.005538,0.00587,0.006533,0.007126,0.008369,0.008994,0.01027,0.011214,0.011663,0.012321,0.014966,0.016425,0.018996,0.02119,0.024855,0.025938,0.031417,0.034034,0.038565,0.045372,0.052838,0.056601,0.065055,0.07366,0.085605,0.095662,0.102118,0.113128,0.13363,0.155501,0.164282,0.175847,0.196018
1977,0.003488,0.003144,0.003597,0.004135,0.004295,0.004638,0.005258,0.005085,0.006182,0.00684,0.007114,0.008241,0.008397,0.009096,0.010701,0.010989,0.013359,0.014588,0.01526,0.017302,0.019235,0.022393,0.025324,0.028549,0.031826,0.037873,0.042379,0.046197,0.055502,0.062515,0.066187,0.080412,0.083785,0.098401,0.110623,0.124459,0.130498,0.152125,0.169666,0.178354
1978,0.002475,0.003731,0.003381,0.004177,0.00411,0.004489,0.004582,0.005389,0.005601,0.006539,0.007012,0.008389,0.007612,0.008716,0.009364,0.011683,0.013142,0.013644,0.015922,0.017398,0.020187,0.023692,0.025953,0.027948,0.032418,0.035998,0.042402,0.04966,0.054345,0.061974,0.070511,0.077438,0.083394,0.097889,0.109267,0.121132,0.135147,0.151772,0.167888,0.183402
1979,0.002809,0.003854,0.003955,0.004078,0.004275,0.004765,0.004765,0.005478,0.006331,0.006856,0.006693,0.007797,0.007784,0.009248,0.010669,0.01175,0.012199,0.013931,0.015961,0.017,0.020041,0.021844,0.02485,0.026933,0.031757,0.036209,0.040355,0.047933,0.051304,0.061029,0.067613,0.078397,0.086373,0.093007,0.108115,0.121034,0.130922,0.149567,0.159955,0.188922
1980,0.003017,0.003472,0.003298,0.004055,0.003886,0.004703,0.004806,0.005627,0.006409,0.006443,0.007122,0.008106,0.008834,0.009245,0.010127,0.011609,0.013345,0.012507,0.015891,0.016688,0.020104,0.021765,0.023892,0.0279,0.031051,0.03669,0.04085,0.048749,0.050813,0.055834,0.068418,0.075433,0.087223,0.092296,0.108786,0.125785,0.128641,0.141774,0.167511,0.183476
1981,0.003079,0.003271,0.002496,0.003308,0.003833,0.004762,0.004764,0.005011,0.005757,0.006487,0.00701,0.007654,0.00804,0.009641,0.010272,0.010449,0.011594,0.013958,0.014874,0.01728,0.019954,0.022861,0.024776,0.027697,0.032294,0.03485,0.038454,0.043251,0.049791,0.057804,0.064653,0.073899,0.082266,0.09324,0.112368,0.126053,0.136915,0.147721,0.165012,0.179869
1982,0.002388,0.002866,0.004038,0.00369,0.004111,0.004966,0.005184,0.004909,0.005965,0.005973,0.006888,0.006968,0.007933,0.009211,0.009688,0.011002,0.011464,0.014003,0.016321,0.016115,0.019006,0.020722,0.023195,0.02695,0.029381,0.033736,0.040593,0.041061,0.04729,0.054949,0.063911,0.069203,0.078887,0.090807,0.100598,0.115149,0.122996,0.139542,0.153424,0.182824
1983,0.002793,0.003351,0.003295,0.004052,0.004101,0.004105,0.004404,0.004339,0.004765,0.006099,0.006333,0.007201,0.007365,0.008205,0.010004,0.011095,0.011036,0.012598,0.01521,0.016367,0.016967,0.020428,0.022957,0.024516,0.029597,0.031673,0.037211,0.04204,0.04724,0.053249,0.060057,0.06928,0.076434,0.087323,0.101924,0.117283,0.114533,0.140933,0.159272,0.171614
1984,0.002315,0.002494,0.003865,0.003329,0.003773,0.004405,0.004498,0.005401,0.005274,0.005874,0.006523,0.007375,0.008311,0.008461,0.009834,0.010308,0.010797,0.011735,0.014763,0.014573,0.017957,0.019813,0.023096,0.024493,0.026691,0.033563,0.036482,0.040707,0.04792,0.050993,0.058782,0.06967,0.075784,0.084582,0.093092,0.110868,0.124485,0.131749,0.152294,0.171402
1985,0.003001,0.003205,0.003021,0.003281,0.004005,0.004419,0.004089,0.00503,0.005887,0.006183,0.006432,0.007452,0.00749,0.008086,0.009471,0.011082,0.011279,0.014052,0.013229,0.015636,0.01797,0.019823,0.020858,0.024546,0.028866,0.032801,0.037124,0.044023,0.048701,0.052175,0.058438,0.069349,0.076764,0.084056,0.098589,0.117318,0.127356,0.134506,0.154745,0.175018
1986,0.002884,0.002534,0.002997,0.003645,0.004235,0.00353,0.003779,0.004865,0.00539,0.005854,0.006025,0.006474,0.007899,0.008544,0.009642,0.00987,0.012385,0.012734,0.014371,0.01553,0.017344,0.01994,0.0203,0.0234,0.02871,0.02997,0.035071,0.039266,0.04435,0.051494,0.059277,0.070348,0.073972,0.081343,0.097297,0.111343,0.124894,0.135265,0.161311,0.17067
1987,0.003019,0.003237,0.003274,0.003149,0.003561,0.004227,0.004214,0.004452,0.00547,0.005461,0.006281,0.00736,0.007582,0.009006,0.009498,0.010603,0.010662,0.011984,0.013294,0.015452,0.017045,0.019805,0.021715,0.023982,0.027645,0.029168,0.033126,0.03953,0.043723,0.052657,0.058759,0.063984,0.073499,0.081439,0.093093,0.106229,0.122729,0.13168,0.15164,0.165065
1988,0.002755,0.002662,0.003219,0.0034,0.003397,0.004119,0.003869,0.004948,0.005588,0.005607,0.006705,0.007382,0.007171,0.00813,0.009506,0.009925,0.010629,0.013439,0.01442,0.016342,0.018075,0.019509,0.021047,0.025205,0.027944,0.030778,0.035399,0.03886,0.043882,0.052029,0.059479,0.067266,0.072421,0.085682,0.093531,0.109275,0.123361,0.139925,0.160378,0.170383
1989,0.002556,0.002496,0.00323,0.003179,0.003669,0.003817,0.003772,0.005185,0.004743,0.005565,0.005747,0.005968,0.007405,0.007834,0.008948,0.010164,0.011089,0.011509,0.013907,0.013113,0.015752,0.018106,0.019514,0.022026,0.026272,0.029139,0.033606,0.038265,0.043633,0.047032,0.05271,0.058559,0.06882,0.078229,0.093769,0.106302,0.114656,0.131933,0.146194,0.169806
1990,0.002602,0.002854,0.003003,0.002921,0.003022,0.00468,0.003972,0.005172,0.005767,0.005737,0.006166,0.006546,0.007442,0.007902,0.008551,0.010239,0.010046,0.012779,0.013467,0.013748,0.016239,0.018868,0.019962,0.023634,0.026046,0.029105,0.032791,0.037718,0.04302,0.050693,0.057581,0.061535,0.075772,0.078861,0.091798,0.101131,0.120011,0.127223,0.149647,0.172458
1991,0.002605,0.003228,0.002691,0.003097,0.003336,0.004172,0.004289,0.00481,0.005458,0.005699,0.006309,0.007167,0.007159,0.008482,0.009067,0.009779,0.011586,0.011605,0.012951,0.014487,0.016624,0.018154,0.019244,0.02178,0.025622,0.027186,0.03294,0.036948,0.042822,0.048157,0.055581,0.059104,0.0704,0.081841,0.089519,0.098498,0.110525,0.126482,0.14155,0.163772
1992,0.00268,0.002336,0.003359,0.003477,0.003458,0.003459,0.004562,0.004351,0.005368,0.005412,0.006642,0.00689,0.007975,0.008042,0.00845,0.009867,0.011361,0.011619,0.012239,0.016171,0.015375,0.017508,0.019531,0.024153,0.026249,0.02808,0.031226,0.037387,0.041472,0.046196,0.051337,0.062304,0.067806,0.074637,0.092289,0.094176,0.109926,0.126406,0.14412,0.160709
1993,0.002283,0.002873,0.002382,0.003096,0.003591,0.003974,0.003904,0.004527,0.004969,0.005586,0.006453,0.006581,0.007272,0.007467,0.008724,0.009869,0.010582,0.012678,0.013635,0.013603,0.015984,0.017003,0.020667,0.022522,0.02499,0.027106,0.033738,0.036796,0.041036,0.046931,0.05335,0.061767,0.069706,0.083502,0.08887,0.102572,0.11304,0.132622,0.144683,0.165835
1994,0.002905,0.002815,0.002613,0.003017,0.003828,0.004337,0.004223,0.004367,0.004676,0.004958,0.006115,0.005817,0.00744,0.007606,0.008965,0.009353,0.00938,0.010769,0.012257,0.01334,0.014578,0.01686,0.018869,0.020594,0.023436,0.02571,0.029275,0.032121,0.037546,0.044477,0.051086,0.056618,0.063028,0.073675,0.087107,0.090692,0.10984,0.123979,0.135416,0.157328
1995,0.002347,0.002878,0.003383,0.003088,0.003106,0.003666,0.004322,0.004143,0.004077,0.005369,0.005597,0.006522,0.007157,0.007925,0.009042,0.009692,0.010078,0.011566,0.011566,0.014008,0.01494,0.015768,0.018767,0.01937,0.024044,0.025893,0.030605,0.034507,0.039667,0.044128,0.050903,0.055571,0.066259,0.074769,0.083522,0.095971,0.105842,0.118968,0.137667,0.152706
1996,0.002514,0.002993,0.002997,0.002758,0.003511,0.003791,0.00424,0.004336,0.004621,0.005539,0.005647,0.005981,0.006778,0.007881,0.008191,0.008851,0.009677,0.011858,0.011461,0.013422,0.014495,0.016701,0.019192,0.021527,0.024519,0.026414,0.030485,0.032495,0.036814,0.04329,0.050402,0.055955,0.062809,0.071493,0.082582,0.09435,0.108114,0.125453,0.136734,0.154882
1997,0.002305,0.002746,0.002972,0.002942,0.003317,0.003392,0.003336,0.004319,0.00493,0.005109,0.005705,0.005606,0.006407,0.006949,0.008431,0.009231,0.010231,0.009654,0.011526,0.012859,0.014321,0.016318,0.018162,0.021939,0.023526,0.025507,0.028844,0.032673,0.03522,0.041935,0.048697,0.055297,0.063267,0.072563,0.080653,0.092901,0.100912,0.117402,0.136405,0.15159
1998,0.002323,0.002235,0.002708,0.002857,0.003271,0.003742,0.003517,0.004459,0.004992,0.004783,0.004934,0.006435,0.007555,0.007542,0.007758,0.008809,0.00986,0.01015,0.011785,0.012937,0.013755,0.015077,0.017773,0.019729,0.022931,0.024775,0.029004,0.031645,0.036654,0.042108,0.048861,0.054408,0.06118,0.071096,0.079228,0.088988,0.105506,0.119,0.130525,0.150676
1999,0.002191,0.00225,0.002573,0.003049,0.002972,0.003684,0.004136,0.00401,0.004135,0.004845,0.005279,0.006136,0.006759,0.007419,0.008274,0.008736,0.010631,0.010037,0.011641,0.012801,0.013835,0.01581,0.017685,0.019539,0.022341,0.025774,0.029106,0.031563,0.035718,0.042056,0.050154,0.054444,0.064291,0.070725,0.079133,0.09443,0.105327,0.121683,0.139114,0.158215
2000,0.00242,0.002352,0.002641,0.002821,0.003345,0.00343,0.004569,0.00471,0.005138,0.004905,0.005782,0.006067,0.007467,0.007135,0.007863,0.008968,0.009893,0.010078,0.010721,0.012589,0.013448,0.015972,0.01689,0.019403,0.022048,0.023846,0.029082,0.031322,0.034061,0.041046,0.048005,0.055651,0.060902,0.06842,0.081422,0.09192,0.103955,0.11649,0.13412,0.149165
2001,0.002597,0.002555,0.002702,0.003095,0.002903,0.003141,0.004123,0.004424,0.004624,0.005661,0.005382,0.006174,0.005883,0.006942,0.006804,0.008953,0.009604,0.010327,0.012219,0.01287,0.014164,0.016753,0.017389,0.018984,0.021732,0.023985,0.025943,0.031845,0.036079,0.040545,0.047818,0.052857,0.058763,0.069483,0.077299,0.091918,0.105949,0.119675,0.133988,0.157978
2002,0.002288,0.00224,0.002198,0.002629,0.003039,0.003519,0.003701,0.004354,0.004685,0.00531,0.005339,0.006604,0.005646,0.006659,0.007283,0.008503,0.008929,0.010798,0.011409,0.013352,0.01525,0.016277,0.016983,0.020013,0.020693,0.024367,0.025776,0.030245,0.037147,0.041312,0.046864,0.051859,0.06148,0.06871,0.081261,0.089526,0.108857,0.120303,0.140135,0.152542
2003,0.002199,0.00229,0.002363,0.002645,0.003107,0.003217,0.003468,0.00419,0.004183,0.004916,0.00514,0.00634,0.006225,0.006736,0.007739,0.008012,0.00869,0.010361,0.011434,0.012707,0.014038,0.015876,0.016905,0.01795,0.020548,0.022793,0.026495,0.029093,0.033795,0.040014,0.044585,0.051792,0.057667,0.066659,0.077262,0.083926,0.103228,0.112298,0.132959,0.1478
2004,0.002281,0.00191,0.002311,0.002641,0.002979,0.003067,0.003584,0.004077,0.004422,0.004796,0.005793,0.005557,0.006573,0.007056,0.007175,0.007578,0.009104,0.009331,0.010242,0.01251,0.013922,0.014435,0.016607,0.018377,0.021183,0.02262,0.024929,0.029994,0.031587,0.038957,0.04076,0.048825,0.05649,0.063527,0.073585,0.083657,0.100639,0.110325,0.124437,0.148385
2005,0.00235,0.002423,0.00255,0.002735,0.002939,0.003433,0.003854,0.004442,0.003986,0.004826,0.005276,0.005857,0.006087,0.007363,0.007305,0.008789,0.009352,0.009782,0.0107,0.012086,0.01352,0.013798,0.016701,0.017115,0.020196,0.021893,0.025561,0.029046,0.032902,0.036042,0.042514,0.048294,0.054431,0.065382,0.072252,0.0801,0.097577,0.11106,0.124213,0.143582
2006,0.001848,0.002141,0.002445,0.002674,0.002935,0.002842,0.003904,0.003565,0.004144,0.004619,0.005314,0.005366,0.006569,0.006393,0.007707,0.008211,0.00822,0.009208,0.010259,0.01108,0.013625,0.013922,0.015716,0.017424,0.020813,0.021215,0.024701,0.028024,0.033539,0.036363,0.039115,0.048228,0.053092,0.062395,0.076439,0.082505,0.092735,0.105679,0.128662,0.141711
2007,0.001956,0.00214,0.002353,0.002534,0.002437,0.002657,0.003417,0.003532,0.004293,0.004506,0.004794,0.004948,0.005823,0.006455,0.007548,0.009007,0.009045,0.009912,0.009956,0.01173,0.012239,0.013957,0.016309,0.017493,0.018569,0.022282,0.025123,0.028771,0.031499,0.037754,0.044146,0.045263,0.056925,0.061559,0.070864,0.083662,0.097439,0.110927,0.129038,0.14585
