year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.006403,0.006707,0.00772,0.007534,0.008971,0.00986,0.009977,0.011552,0.013399,0.014698,0.015776,0.018626,0.019415,0.020347,0.022705,0.024477,0.028286,0.02998,0.035349,0.037392,0.044491,0.044682,0.048174,0.055075,0.06386,0.067767,0.077956,0.093637,0.098739,0.10342,0.122107,0.140132,0.146212,0.164313,0.171984,0.200156,0.221734,0.227543,0.268113,0.290206
1951,0.006154,0.006582,0.00664,0.008636,0.008107,0.009356,0.01098,0.011118,0.013078,0.014396,0.016364,0.017471,0.018272,0.020344,0.022949,0.024459,0.026367,0.031363,0.03299,0.036151,0.041951,0.044873,0.049136,0.054404,0.059785,0.067987,0.073803,0.084005,0.09693,0.103759,0.116056,0.132742,0.143274,0.172436,0.173446,0.214998,0.22074,0.241027,0.278074,0.294182
1952,0.006071,0.006544,0.00722,0.007634,0.008949,0.010276,0.010367,0.011788,0.011859,0.013545,0.014732,0.016761,0.018554,0.020667,0.022533,0.023954,0.027497,0.029572,0.032149,0.037684,0.040192,0.043365,0.048732,0.051546,0.057835,0.066291,0.073817,0.08382,0.088206,0.107564,0.108188,0.119285,0.149964,0.144795,0.171464,0.214931,0.22591,0.244592,0.256684,0.266278
1953,0.005447,0.005444,0.006892,0.007086,0.009121,0.009126,0.011677,0.011044,0.013798,0.014389,0.015994,0.016848,0.018247,0.020185,0.022337,0.025002,0.026998,0.028178,0.034651,0.03695,0.041097,0.044793,0.048639,0.050829,0.061045,0.06763,0.075561,0.084484,0.089475,0.103128,0.113579,0.12924,0.138144,0.161946,0.162875,0.191243,0.202889,0.224899,0.240478,0.277717
1954,0.005299,0.006372,0.006123,0.007511,0.008202,0.009707,0.010683,0.010388,0.011925,0.013254,0.015334,0.015862,0.017279,0.019944,0.022077,0.024083,0.027423,0.031607,0.035053,0.034758,0.041397,0.045853,0.051496,0.052644,0.061178,0.064422,0.074388,0.080659,0.093746,0.097495,0.117613,0.123291,0.140002,0.151798,0.165761,0.167492,0.194921,0.232148,0.238543,0.24986
1955,0.005112,0.005896,0.007227,0.007223,0.008319,0.010001,0.010823,0.010983,0.012134,0.014801,0.016142,0.016608,0.018783,0.019701,0.022156,0.023859,0.026384,0.029647,0.030342,0.035961,0.038972,0.043482,0.049982,0.056872,0.056517,0.066705,0.07003,0.0812,0.087867,0.102891,0.114245,0.125091,0.132704,0.145064,0.162918,0.166154,0.193294,0.218991,0.248148,0.273982
1956,0.005209,0.006296,0.007097,0.007642,0.008324,0.009734,0.010552,0.010958,0.012281,0.013236,0.015019,0.016461,0.01906,0.020906,0.022647,0.023088,0.025415,0.030827,0.033996,0.03513,0.038559,0.045007,0.049015,0.051759,0.062969,0.069549,0.072825,0.080195,0.08896,0.096036,0.116357,0.127469,0.132301,0.153846,0.16994,0.194454,0.208026,0.209911,0.267662,0.240588
1957,0.006328,0.006045,0.006873,0.007398,0.008855,0.008435,0.010482,0.01097,0.012368,0.015413,0.015201,0.017877,0.018659,0.021575,0.024046,0.025499,0.027837,0.029497,0.034347,0.035394,0.039285,0.043586,0.051246,0.053269,0.060263,0.067329,0.073699,0.087523,0.093499,0.102275,0.1158,0.125947,0.141601,0.146226,0.177285,0.199586,0.216192,0.242075,0.24371,0.311241
1958,0.005394,0.005598,0.006567,0.00696,0.007214,0.008263,0.009421,0.011825,0.011241,0.012518,0.015584,0.016244,0.01733,0.020264,0.021523,0.023334,0.027074,0.029778,0.032524,0.037311,0.041115,0.042053,0.049255,0.051445,0.058098,0.065962,0.072319,0.080806,0.088032,0.095263,0.107627,0.123782,0.144166,0.142441,0.161131,0.173747,0.208196,0.245018,0.248626,0.251075
1959,0.005136,0.005383,0.006359,0.007181,0.007513,0.008611,0.009396,0.010906,0.011381,0.01259,0.014231,0.014305,0.016176,0.017784,0.021412,0.023924,0.024909,0.028119,0.031542,0.035249,0.03924,0.044822,0.048662,0.052445,0.058751,0.063427,0.0686,0.083844,0.085626,0.09917,0.105761,0.12278,0.132214,0.14813,0.159864,0.180703,0.203588,0.220255,0.253329,0.268524
1960,0.004793,0.005707,0.006597,0.006804,0.007424,0.008346,0.01045,0.010911,0.012687,0.015023,0.015427,0.016988,0.01868,0.020688,0.022017,0.025533,0.02613,0.03037,0.03465,0.037133,0.042624,0.045837,0.049453,0.058335,0.062033,0.067035,0.072465,0.08464,0.095537,0.102492,0.109441,0.127299,0.140966,0.155746,0.170784,0.173561,0.202161,0.220555,0.254984,0.282719
1961,0.00523,0.006193,0.006385,0.006746,0.007999,0.00876,0.009872,0.010679,0.01133,0.013529,0.015036,0.015815,0.018011,0.020241,0.022556,0.02397,0.027355,0.029328,0.033308,0.036015,0.040339,0.043824,0.047795,0.055355,0.058812,0.064579,0.072601,0.078222,0.086481,0.100381,0.104303,0.125871,0.133235,0.147517,0.165694,0.176583,0.196474,0.204217,0.23067,0.26529
1962,0.005924,0.005315,0.006135,0.007506,0.007889,0.009419,0.009321,0.011163,0.011155,0.013371,0.015163,0.016401,0.018874,0.020686,0.023757,0.024467,0.028842,0.03044,0.033058,0.038011,0.040417,0.046827,0.050476,0.055656,0.059467,0.068832,0.076982,0.086425,0.09686,0.103533,0.113423,0.122167,0.144642,0.145099,0.16608,0.187804,0.21105,0.228192,0.250272,0.289582
1963,0.004982,0.005271,0.005963,0.006663,0.007998,0.008902,0.009097,0.011208,0.011837,0.013989,0.015609,0.017464,0.018326,0.020834,0.022218,0.02432,0.026898,0.027382,0.031623,0.037632,0.039133,0.04532,0.048895,0.052106,0.060453,0.068459,0.073474,0.082716,0.090965,0.0994,0.112495,0.124293,0.146293,0.153915,0.167512,0.181442,0.197149,0.216722,0.236611,0.262208
1964,0.00486,0.005826,0.006719,0.007038,0.007483,0.008659,0.009697,0.011863,0.012104,0.013995,0.014327,0.016064,0.016511,0.020574,0.02242,0.024061,0.028407,0.029368,0.033595,0.037024,0.041151,0.04447,0.047504,0.055054,0.058667,0.064413,0.075345,0.077884,0.094022,0.095671,0.111997,0.117584,0.135776,0.142025,0.169096,0.17753,0.191034,0.200327,0.243582,0.233864
1965,0.005512,0.005506,0.006833,0.007891,0.00796,0.008517,0.009531,0.010867,0.010991,0.012406,0.014779,0.016407,0.018404,0.020212,0.022191,0.024347,0.026425,0.029433,0.032928,0.036529,0.040802,0.044131,0.051409,0.055393,0.061512,0.066631,0.075623,0.083068,0.086267,0.099031,0.110762,0.126136,0.133734,0.154199,0.158203,0.165506,0.193585,0.22289,0.237642,0.252154
1966,0.005116,0.005655,0.006772,0.007502,0.007797,0.008043,0.008629,0.010407,0.011612,0.013148,0.014344,0.01669,0.019127,0.020808,0.020351,0.023822,0.026986,0.029149,0.033426,0.039899,0.040338,0.043945,0.050919,0.05319,0.056816,0.067923,0.071444,0.07934,0.09008,0.099842,0.111502,0.116401,0.130657,0.142386,0.155367,0.176911,0.199911,0.214276,0.226762,0.243089
1967,0.004853,0.005794,0.006655,0.007581,0.008507,0.008296,0.010121,0.010848,0.011741,0.012264,0.014799,0.017405,0.017838,0.019882,0.022115,0.023744,0.027786,0.031064,0.033121,0.036492,0.040571,0.044838,0.049146,0.053096,0.059677,0.068037,0.073433,0.083032,0.088877,0.096582,0.102063,0.112576,0.135257,0.148602,0.158226,0.169907,0.187992,0.209722,0.221069,0.24924
1968,0.005055,0.006211,0.006818,0.006522,0.007829,0.008883,0.009293,0.010809,0.011828,0.013125,0.013977,0.016066,0.017495,0.020513,0.020756,0.023753,0.026579,0.029327,0.03471,0.035041,0.040087,0.045231,0.05107,0.056605,0.057946,0.069446,0.075185,0.083432,0.091581,0.096981,0.111331,0.123706,0.132824,0.144228,0.157327,0.177237,0.206989,0.222109,0.235588,0.256215
1969,0.004882,0.006672,0.006069,0.007158,0.007841,0.008295,0.009419,0.010979,0.01197,0.013829,0.013606,0.0163,0.019068,0.021216,0.022739,0.023647,0.027921,0.030894,0.034526,0.037284,0.041474,0.045313,0.050832,0.056057,0.066204,0.068225,0.073955,0.083396,0.088444,0.099567,0.111908,0.120802,0.126257,0.144455,0.150387,0.170806,0.198918,0.210112,0.221361,0.271657
1970,0.005285,0.006251,0.006888,0.007117,0.007707,0.00823,0.009687,0.011107,0.011168,0.012069,0.014722,0.016068,0.017056,0.019144,0.022488,0.02336,0.025935,0.029378,0.032171,0.03513,0.040405,0.042131,0.047799,0.05183,0.058932,0.060736,0.075123,0.07622,0.081759,0.090411,0.102571,0.112715,0.118029,0.135718,0.144395,0.165763,0.172176,0.202402,0.226848,0.231243
1971,0.005745,0.006131,0.006782,0.007317,0.007466,0.008717,0.01007,0.010985,0.010515,0.013003,0.014733,0.016722,0.017594,0.01899,0.022459,0.024647,0.026529,0.029695,0.032887,0.035823,0.039695,0.046286,0.04727,0.056725,0.059262,0.062124,0.074806,0.078184,0.092299,0.097337,0.106814,0.113563,0.128957,0.143479,0.145925,0.17255,0.189541,0.19569,0.209412,0.25184
1972,0.005736,0.005626,0.007123,0.007082,0.008452,0.009088,0.009927,0.010079,0.011831,0.013419,0.013596,0.015228,0.017081,0.020084,0.021115,0.023315,0.027806,0.029092,0.032685,0.035935,0.041381,0.043994,0.049546,0.054067,0.060784,0.065374,0.071993,0.080292,0.087547,0.097804,0.099785,0.113092,0.131066,0.142633,0.15443,0.165166,0.171798,0.188797,0.215965,0.221377
1973,0.005536,0.005959,0.006555,0.007429,0.008354,0.009268,0.009829,0.010613,0.011644,0.013458,0.013748,0.015436,0.017661,0.019611,0.022683,0.024989,0.026932,0.031364,0.032526,0.037646,0.038576,0.045123,0.047671,0.054199,0.061237,0.067983,0.076456,0.079804,0.089073,0.095801,0.107858,0.124447,0.1225,0.139956,0.155101,0.174452,0.187243,0.207807,0.223572,0.23138
1974,0.005752,0.006942,0.006697,0.007306,0.008543,0.008955,0.009398,0.010402,0.012217,0.013547,0.014749,0.01556,0.017608,0.019181,0.02191,0.024549,0.026157,0.029601,0.032307,0.036439,0.039139,0.045857,0.047814,0.053668,0.059132,0.065809,0.073738,0.08331,0.090244,0.09531,0.10629,0.115165,0.128645,0.142518,0.158048,0.162767,0.191551,0.205932,0.211501,0.240043
1975,0.005497,0.006022,0.006494,0.007671,0.008426,0.008869,0.00961,0.011056,0.011871,0.012727,0.01564,0.016591,0.017377,0.018851,0.020897,0.023951,0.026657,0.030267,0.033869,0.036722,0.03919,0.04335,0.047696,0.055386,0.059036,0.066589,0.073603,0.081446,0.086021,0.10026,0.107987,0.113439,0.137897,0.136926,0.154523,0.167163,0.17929,0.199619,0.232795,0.226594
1976,0.005976,0.006503,0.006455,0.007828,0.008273,0.008981,0.010602,0.01171,0.012479,0.013432,0.014189,0.017188,0.017066,0.020408,0.021905,0.024912,0.0263,0.029657,0.034123,0.03611,0.040419,0.045464,0.051235,0.054093,0.062083,0.066184,0.073954,0.082908,0.091734,0.097617,0.104555,0.123724,0.128056,0.145899,0.159704,0.175211,0.188504,0.204155,0.224369,0.236738
1977,0.005901,0.006908,0.006853,0.007702,0.007928,0.009646,0.00975,0.011081,0.01115,0.013151,0.014769,0.015171,0.017993,0.019078,0.022033,0.023782,0.026212,0.029639,0.032616,0.0358,0.037602,0.044693,0.04774,0.052983,0.055718,0.069298,0.068293,0.077703,0.08485,0.096629,0.107728,0.117122,0.12908,0.133834,0.14726,0.164497,0.18024,0.198403,0.220382,0.239108
1978,0.005967,0.005935,0.006659,0.007665,0.008366,0.009166,0.01014,0.01109,0.011709,0.01329,0.015006,0.014601,0.017026,0.020094,0.021951,0.023989,0.027138,0.029333,0.032019,0.034606,0.038329,0.044394,0.046875,0.053933,0.058588,0.06473,0.071458,0.080586,0.087708,0.094158,0.107361,0.109167,0.127103,0.136278,0.150238,0.168652,0.181192,0.209746,0.22071,0.221443
1979,0.005944,0.005889,0.007937,0.007427,0.008307,0.009414,0.010028,0.011671,0.011625,0.012678,0.01459,0.015613,0.017679,0.019578,0.019943,0.022782,0.02467,0.029829,0.030987,0.03647,0.03878,0.04428,0.049166,0.054606,0.057627,0.067151,0.07053,0.079989,0.08826,0.094468,0.106396,0.120383,0.12499,0.133258,0.148598,0.159968,0.187269,0.202626,0.218245,0.237537
1980,0.006038,0.006,0.006931,0.006972,0.008123,0.008841,0.009054,0.011143,0.011844,0.012663,0.015365,0.01556,0.017041,0.020103,0.021574,0.022139,0.025101,0.028555,0.032827,0.033506,0.03775,0.043519,0.046601,0.053756,0.056565,0.061967,0.06941,0.076723,0.083717,0.095027,0.106611,0.115194,0.126969,0.136033,0.147758,0.168872,0.182784,0.185858,0.216723,0.236926
1981,0.005237,0.006279,0.007248,0.007407,0.007833,0.008859,0.009453,0.010641,0.011184,0.012562,0.014353,0.01527,0.016835,0.018518,0.021621,0.023711,0.024331,0.028799,0.031214,0.036096,0.036596,0.043307,0.045797,0.051879,0.055841,0.063384,0.067743,0.076329,0.087114,0.092307,0.100239,0.115202,0.122881,0.139919,0.153841,0.161874,0.190492,0.199926,0.210222,0.230744
1982,0.004958,0.006187,0.006365,0.006487,0.007328,0.008515,0.010026,0.01002,0.011404,0.012561,0.013568,0.015852,0.017273,0.017748,0.021105,0.022091,0.024431,0.027736,0.030683,0.034465,0.037006,0.039271,0.04698,0.047973,0.055852,0.060521,0.065528,0.074241,0.083518,0.093422,0.103683,0.10657,0.121744,0.137682,0.147351,0.155912,0.169578,0.186973,0.212675,0.225274
1983,0.005033,0.005402,0.007064,0.006982,0.007599,0.008071,0.00857,0.009114,0.011184,0.01301,0.013815,0.014983,0.016213,0.018805,0.019363,0.023305,0.023588,0.027375,0.029049,0.032528,0.034502,0.040496,0.042603,0.049006,0.056745,0.060858,0.065128,0.074041,0.080069,0.090568,0.097013,0.110362,0.122767,0.128304,0.148107,0.166864,0.169879,0.199881,0.206897,0.242035
1984,0.005188,0.005413,0.005831,0.006181,0.007541,0.008052,0.009793,0.00914,0.010842,0.011775,0.01234,0.014637,0.016355,0.017308,0.019958,0.023052,0.023318,0.025838,0.028635,0.032411,0.033799,0.039079,0.043464,0.046907,0.052478,0.058642,0.07083,0.072307,0.080378,0.090399,0.095615,0.104996,0.115708,0.127509,0.146324,0.152336,0.15297,0.186418,0.202396,0.232927
1985,0.004969,0.005936,0.005588,0.005866,0.007551,0.008068,0.009047,0.010188,0.01114,0.011909,0.013157,0.014248,0.015507,0.018041,0.02039,0.021813,0.024095,0.028477,0.029521,0.032285,0.033818,0.03948,0.044496,0.049533,0.052396,0.059033,0.063974,0.07427,0.079613,0.092887,0.098114,0.110801,0.119835,0.13937,0.142307,0.166444,0.168755,0.201705,0.211275,0.221991
1986,0.004651,0.005372,0.005631,0.006483,0.006731,0.007954,0.008186,0.009692,0.010925,0.012078,0.013104,0.0132,0.014276,0.0174,0.018941,0.021431,0.024441,0.026015,0.029643,0.031359,0.035344,0.039381,0.042715,0.046868,0.054701,0.05588,0.064404,0.071387,0.079353,0.089644,0.09499,0.103945,0.124284,0.131166,0.143148,0.14722,0.174181,0.194459,0.21677,0.226051
1987,0.004764,0.00563,0.005375,0.006778,0.007493,0.007537,0.008459,0.009686,0.010661,0.012159,0.013117,0.013512,0.013879,0.016522,0.018921,0.020808,0.023771,0.024061,0.027035,0.029522,0.034863,0.037778,0.041973,0.048048,0.051486,0.057551,0.062534,0.070284,0.076225,0.088011,0.093133,0.106067,0.113409,0.126092,0.145252,0.154911,0.168446,0.191182,0.210406,0.216992
