year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.006602,0.007085,0.007672,0.008334,0.008963,0.009614,0.010395,0.011246,0.012101,0.013157,0.014621,0.015985,0.017332,0.018833,0.020454,0.022009,0.023587,0.025444,0.028125,0.031039,0.034614,0.038818,0.043724,0.048029,0.052981,0.058095,0.064152,0.070735,0.077259,0.084732,0.087598,0.09788,0.108355,0.118414,0.130374,0.144909,0.160038,0.172223,0.180398,0.188881
1951,0.006675,0.00717,0.007804,0.008551,0.009166,0.009685,0.010391,0.011171,0.01182,0.012694,0.014245,0.015668,0.016894,0.018404,0.02024,0.021931,0.0234,0.024994,0.027561,0.030253,0.033603,0.037561,0.042681,0.047068,0.052299,0.057145,0.063199,0.070163,0.076678,0.084055,0.088055,0.096116,0.107752,0.119939,0.132015,0.145072,0.153916,0.169408,0.176885,0.194475
1952,0.006517,0.006961,0.007487,0.008229,0.00893,0.00948,0.01016,0.010931,0.011536,0.012277,0.013665,0.01516,0.016432,0.017827,0.019669,0.021543,0.023111,0.024621,0.026991,0.029606,0.032917,0.036771,0.041798,0.046395,0.051713,0.056457,0.061884,0.068129,0.074419,0.081041,0.085539,0.093147,0.101682,0.114801,0.129232,0.142607,0.152049,0.164838,0.172921,0.194083
1953,0.006345,0.006897,0.007406,0.008041,0.00874,0.009341,0.009988,0.010675,0.011268,0.012014,0.013186,0.014547,0.016006,0.01753,0.019276,0.021227,0.023087,0.024762,0.026939,0.029328,0.032615,0.036354,0.040977,0.045479,0.050897,0.055681,0.060835,0.066466,0.072785,0.080118,0.08599,0.095074,0.10424,0.113987,0.128626,0.143127,0.153856,0.165747,0.174843,0.184209
1954,0.006043,0.006612,0.007163,0.00768,0.008161,0.008638,0.009249,0.009868,0.010432,0.011302,0.012506,0.013709,0.015085,0.016758,0.018454,0.020079,0.021839,0.023677,0.025774,0.027847,0.03088,0.034481,0.038674,0.042763,0.048002,0.052982,0.058075,0.063173,0.068728,0.07539,0.081732,0.090165,0.099252,0.107824,0.116146,0.130387,0.148573,0.154794,0.168353,0.183861
1955,0.005648,0.006145,0.006705,0.007345,0.007904,0.00843,0.009173,0.009924,0.010494,0.011314,0.012407,0.013475,0.014649,0.016297,0.018303,0.02018,0.021942,0.023922,0.026182,0.028135,0.030763,0.034006,0.03798,0.042069,0.0475,0.053341,0.059429,0.064971,0.070446,0.076023,0.080395,0.090076,0.100244,0.112988,0.127675,0.141454,0.147875,0.163784,0.174477,0.190009
1956,0.005451,0.005903,0.006427,0.007105,0.007832,0.008444,0.009173,0.009997,0.010684,0.011551,0.012539,0.013541,0.01463,0.01603,0.017859,0.01988,0.021726,0.023588,0.025859,0.028084,0.030901,0.033946,0.037464,0.041298,0.046317,0.051699,0.057796,0.063887,0.070279,0.076677,0.081459,0.090566,0.102091,0.11278,0.124507,0.13704,0.152235,0.159432,0.173482,0.189569
1957,0.00567,0.006175,0.006714,0.00733,0.007997,0.008589,0.009199,0.009861,0.010596,0.011693,0.012795,0.013838,0.015049,0.016514,0.018156,0.020086,0.022227,0.024266,0.026307,0.028505,0.031643,0.03478,0.037838,0.041289,0.046199,0.051511,0.057401,0.063645,0.070845,0.077757,0.083786,0.090848,0.101069,0.114315,0.126564,0.139961,0.153011,0.168616,0.176015,0.19446
1958,0.005557,0.006067,0.006572,0.007144,0.007738,0.008298,0.008971,0.009564,0.010169,0.011336,0.012539,0.013568,0.014724,0.016205,0.017747,0.019334,0.021312,0.023642,0.025746,0.027701,0.030931,0.03447,0.037534,0.040652,0.04524,0.050611,0.05641,0.062366,0.069991,0.077747,0.085106,0.092662,0.100036,0.110996,0.125321,0.137575,0.149811,0.164909,0.181511,0.195433
1959,0.005476,0.005654,0.006538,0.006807,0.007595,0.007667,0.008346,0.008671,0.011047,0.01182,0.011993,0.012313,0.014918,0.016505,0.017244,0.019804,0.019705,0.022731,0.02497,0.02698,0.0312,0.031235,0.036503,0.039796,0.044998,0.051555,0.054577,0.057641,0.068155,0.077499,0.083488,0.085998,0.099686,0.112238,0.122958,0.135381,0.147735,0.163058,0.174481,0.193832
