year,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89
1950,0.010991,0.011951,0.013087,0.014374,0.015622,0.016946,0.018402,0.019886,0.021274,0.022904,0.025086,0.02698,0.028873,0.0311,0.03356,0.035903,0.038293,0.040781,0.044198,0.047412,0.051336,0.055838,0.061169,0.065817,0.071405,0.076982,0.083746,0.091053,0.098197,0.106377,0.113768,0.125616,0.137756,0.148885,0.16214,0.179112,0.19652,0.208401,0.215707,0.223962
1951,0.011049,0.011978,0.013194,0.014697,0.01606,0.017324,0.018784,0.020222,0.021255,0.022518,0.024764,0.026668,0.028311,0.030553,0.03342,0.036198,0.038674,0.040945,0.044434,0.047404,0.051011,0.055143,0.060657,0.065329,0.071361,0.076594,0.083331,0.091039,0.09803,0.105757,0.113418,0.122086,0.135004,0.14892,0.162538,0.177908,0.188822,0.20552,0.211641,0.241278
1952,0.011046,0.011902,0.012931,0.014416,0.015912,0.01721,0.018634,0.020111,0.021164,0.022374,0.024601,0.02685,0.028668,0.030702,0.033416,0.036199,0.038566,0.040522,0.043547,0.046345,0.049872,0.053807,0.059092,0.063904,0.069993,0.075207,0.081319,0.088454,0.096003,0.104029,0.11271,0.122117,0.131458,0.144927,0.15788,0.169009,0.185932,0.198818,0.203981,0.229269
1953,0.010889,0.011911,0.012886,0.014127,0.015543,0.016859,0.01822,0.019601,0.020751,0.022191,0.024336,0.026632,0.028958,0.031274,0.033752,0.036428,0.038998,0.041074,0.043748,0.046251,0.049966,0.05402,0.058993,0.063831,0.070147,0.07559,0.081482,0.087652,0.094969,0.103533,0.113539,0.123189,0.133492,0.14301,0.156536,0.171629,0.19515,0.202737,0.213567,0.225129
1954,0.010391,0.011401,0.012456,0.013536,0.014626,0.015797,0.017157,0.018432,0.019467,0.021023,0.023097,0.025054,0.027273,0.029999,0.03263,0.035027,0.037599,0.04006,0.042763,0.044968,0.048539,0.052725,0.057405,0.061778,0.067743,0.073143,0.078701,0.08392,0.089924,0.0973,0.108327,0.116962,0.126672,0.136958,0.145992,0.16038,0.177456,0.192677,0.204374,0.215545
1955,0.01018,0.011143,0.01222,0.01348,0.014607,0.01569,0.017159,0.018631,0.019698,0.02127,0.023302,0.025132,0.027015,0.029646,0.032693,0.035302,0.037687,0.0403,0.043323,0.045676,0.049187,0.053365,0.058202,0.062785,0.068833,0.074837,0.081157,0.086632,0.092604,0.098775,0.108275,0.119196,0.129333,0.141995,0.157235,0.170508,0.180754,0.199311,0.209911,0.229568
1956,0.009971,0.010914,0.01193,0.013209,0.014586,0.015748,0.017134,0.018741,0.020096,0.021902,0.023922,0.025794,0.027641,0.029907,0.032696,0.035597,0.038091,0.040418,0.043303,0.04594,0.04972,0.053661,0.057948,0.062439,0.068187,0.073725,0.080052,0.08605,0.093154,0.100315,0.110511,0.121027,0.133828,0.143532,0.153117,0.166459,0.192957,0.197148,0.209326,0.230386
1957,0.010333,0.011418,0.012494,0.01367,0.014944,0.01612,0.017336,0.018659,0.020102,0.022371,0.024635,0.026616,0.02874,0.031204,0.03376,0.036651,0.039821,0.042551,0.045018,0.047484,0.051643,0.055688,0.05927,0.063195,0.068934,0.074512,0.080442,0.086218,0.093792,0.100914,0.111312,0.119289,0.131105,0.147021,0.160953,0.174453,0.182364,0.212278,0.211072,0.23768
1958,0.01022,0.011373,0.01245,0.013596,0.014756,0.015877,0.017223,0.018388,0.01948,0.021752,0.024071,0.025962,0.027982,0.030566,0.033141,0.035675,0.038778,0.042232,0.044846,0.046731,0.050728,0.055125,0.05862,0.06208,0.06754,0.073781,0.080186,0.085881,0.094219,0.102418,0.114863,0.122052,0.130382,0.142969,0.159987,0.172871,0.184368,0.198179,0.217302,0.230663
1959,0.010089,0.011037,0.012461,0.013489,0.014506,0.015503,0.016652,0.017306,0.020547,0.022833,0.023401,0.024574,0.027991,0.031157,0.0331,0.036591,0.037568,0.041355,0.042865,0.045938,0.051373,0.052902,0.057666,0.061175,0.068412,0.07434,0.078226,0.081693,0.092495,0.102346,0.112389,0.116964,0.130961,0.142666,0.156369,0.167284,0.184167,0.199533,0.211851,0.233938
1960,0.010601,0.011156,0.012758,0.013485,0.014602,0.015805,0.01664,0.018111,0.019136,0.023255,0.025259,0.024923,0.028549,0.03051,0.034542,0.038358,0.037666,0.042504,0.043814,0.045615,0.052387,0.054339,0.061298,0.062401,0.069062,0.076305,0.080314,0.084267,0.093348,0.101547,0.116392,0.116922,0.133864,0.143495,0.160007,0.171652,0.185017,0.202945,0.216263,0.228676
1961,0.010283,0.011164,0.011971,0.013095,0.013967,0.015356,0.016321,0.017612,0.019437,0.020812,0.025063,0.026884,0.027393,0.029466,0.032268,0.037378,0.037824,0.041161,0.04398,0.044551,0.048694,0.052337,0.060084,0.061946,0.064656,0.074087,0.078147,0.084314,0.09201,0.098699,0.111538,0.119768,0.128567,0.143757,0.155904,0.171665,0.18239,0.197803,0.212048,0.229939
1962,0.010046,0.011316,0.012628,0.012936,0.014607,0.015028,0.016308,0.018004,0.019969,0.021825,0.023184,0.02726,0.0303,0.029458,0.032629,0.036997,0.039051,0.042162,0.044127,0.0467,0.04954,0.050296,0.060088,0.064366,0.069161,0.07275,0.080039,0.087052,0.095504,0.101815,0.112596,0.117721,0.136146,0.143993,0.159021,0.174101,0.18504,0.205277,0.214681,0.241189
1963,0.010262,0.010932,0.012789,0.013737,0.01422,0.01558,0.016693,0.018442,0.02034,0.022467,0.024446,0.025158,0.031661,0.032753,0.032093,0.03738,0.038795,0.043182,0.045758,0.047675,0.052837,0.05317,0.059138,0.065352,0.072018,0.077917,0.079701,0.088125,0.097751,0.105043,0.115342,0.120949,0.135111,0.152856,0.160213,0.177163,0.190237,0.208839,0.225093,0.24281
1964,0.010239,0.010943,0.012132,0.013253,0.01442,0.015223,0.016678,0.017967,0.019663,0.022022,0.024442,0.025762,0.02879,0.032281,0.034412,0.035087,0.037338,0.041815,0.044409,0.047332,0.050879,0.053182,0.058957,0.060896,0.069568,0.076906,0.080744,0.082098,0.093899,0.102128,0.111799,0.11459,0.131504,0.141896,0.160016,0.16614,0.183966,0.198209,0.211099,0.230952
1965,0.01042,0.011056,0.012364,0.01317,0.014575,0.0155,0.01646,0.01815,0.019773,0.021847,0.024452,0.026339,0.029878,0.030569,0.034931,0.037878,0.036232,0.041021,0.044486,0.048498,0.052282,0.052951,0.060229,0.062182,0.067029,0.076263,0.082997,0.087398,0.091536,0.103788,0.113944,0.117543,0.131675,0.144691,0.157692,0.174998,0.183521,0.200906,0.212398,0.233569
1966,0.010406,0.011097,0.012605,0.013378,0.014372,0.015873,0.016971,0.018088,0.020463,0.022205,0.024552,0.026393,0.030124,0.032103,0.032784,0.038608,0.039635,0.040424,0.044159,0.046644,0.053299,0.053836,0.059818,0.064345,0.068364,0.074785,0.081569,0.090942,0.097855,0.099186,0.114712,0.118083,0.130456,0.143884,0.159219,0.170751,0.187657,0.198382,0.213209,0.229098
1967,0.009827,0.010774,0.012121,0.013402,0.014394,0.015175,0.016932,0.018375,0.019857,0.021941,0.023725,0.025759,0.028979,0.03121,0.033285,0.035401,0.03913,0.04248,0.041435,0.046039,0.050669,0.0539,0.060537,0.064027,0.069604,0.07387,0.077835,0.086651,0.096413,0.103074,0.109534,0.117069,0.127942,0.142102,0.15436,0.165385,0.180937,0.20027,0.202279,0.227853
1968,0.010304,0.01088,0.012204,0.013311,0.014787,0.016059,0.017034,0.018952,0.020839,0.021995,0.024755,0.025964,0.029447,0.031975,0.034404,0.037975,0.037539,0.044275,0.04633,0.04614,0.052045,0.055279,0.064209,0.066285,0.071557,0.077762,0.081422,0.086669,0.097041,0.107823,0.114126,0.116593,0.132243,0.143583,0.157056,0.170688,0.183649,0.195471,0.215117,0.228512
1969,0.009881,0.010674,0.011774,0.012965,0.014472,0.015564,0.017154,0.018372,0.020294,0.022211,0.023335,0.026009,0.028589,0.030426,0.033202,0.036641,0.037987,0.04,0.046195,0.048611,0.049503,0.0539,0.060599,0.066444,0.071072,0.075638,0.082245,0.085262,0.093044,0.10386,0.11314,0.11592,0.12785,0.141285,0.155648,0.163628,0.180097,0.191473,0.204814,0.22663
1970,0.009839,0.010323,0.01193,0.012625,0.014297,0.015626,0.016974,0.018658,0.019929,0.021869,0.023751,0.024704,0.028212,0.030418,0.032617,0.036319,0.037497,0.040816,0.043103,0.048834,0.051609,0.051483,0.059395,0.06415,0.070758,0.075334,0.080314,0.08567,0.093129,0.100108,0.108129,0.114682,0.126069,0.136354,0.149394,0.161296,0.175904,0.185729,0.199526,0.215045
1971,0.009548,0.010346,0.011144,0.012589,0.013786,0.015156,0.01667,0.018129,0.019555,0.021167,0.023333,0.024631,0.026849,0.029886,0.031641,0.035164,0.036736,0.040097,0.042977,0.045552,0.052357,0.054255,0.057242,0.063466,0.067366,0.075663,0.079703,0.084538,0.092809,0.100489,0.106362,0.115863,0.126495,0.135057,0.147301,0.162431,0.175772,0.190293,0.202099,0.22007
1972,0.009707,0.010538,0.011255,0.012053,0.013834,0.015221,0.01639,0.018164,0.019603,0.021194,0.023559,0.025261,0.027457,0.029142,0.032198,0.034446,0.036525,0.040444,0.043126,0.047084,0.050838,0.056781,0.060876,0.061299,0.071006,0.076646,0.082635,0.085877,0.091842,0.101645,0.108691,0.114619,0.126624,0.137742,0.152188,0.157535,0.176252,0.186248,0.198359,0.21862
1973,0.009484,0.010082,0.011105,0.011786,0.01308,0.014643,0.016168,0.0178,0.019219,0.021073,0.023626,0.024296,0.027288,0.028676,0.030466,0.034389,0.03604,0.039302,0.042204,0.046206,0.052368,0.052636,0.061947,0.062847,0.066206,0.076166,0.07956,0.086619,0.089688,0.097583,0.10941,0.115549,0.125951,0.138011,0.151187,0.162933,0.172759,0.189302,0.199995,0.219645
1974,0.009283,0.009756,0.010744,0.011502,0.012708,0.013646,0.015232,0.016833,0.018777,0.020061,0.022701,0.023639,0.025834,0.027618,0.029375,0.032395,0.03501,0.038124,0.041054,0.044387,0.049985,0.052021,0.058052,0.063028,0.06648,0.069926,0.077367,0.083218,0.086846,0.09324,0.105407,0.112119,0.121842,0.131463,0.147318,0.158598,0.171318,0.179363,0.200328,0.211757
1975,0.009059,0.00965,0.010339,0.011096,0.012352,0.01337,0.014247,0.016384,0.017997,0.019046,0.021878,0.022351,0.025242,0.026764,0.028883,0.031298,0.032743,0.037053,0.040102,0.04247,0.048188,0.050226,0.057207,0.058439,0.066935,0.070378,0.071344,0.080655,0.083942,0.091746,0.10138,0.107248,0.120161,0.130265,0.137926,0.149783,0.162031,0.175758,0.184998,0.203369
1976,0.008703,0.0093,0.010314,0.010959,0.011976,0.01302,0.014204,0.01553,0.01738,0.018903,0.021632,0.022302,0.024893,0.026484,0.028303,0.031267,0.032377,0.035321,0.038927,0.042598,0.048679,0.048449,0.055685,0.059331,0.062474,0.072303,0.072309,0.07629,0.083391,0.090475,0.102011,0.105763,0.116583,0.130219,0.140399,0.148535,0.16439,0.177468,0.19036,0.206784
